-0.078125,0.046143,0.992920,0.000000,0.000000.1,2.500000,0.000000.2,0.000000.3,0.000000.4
-0.005371,0.012939,0.999023,-0.060976,-0.182927,0.182927,0.0,0.0,0.0
-0.00708,0.021729,1.007324,0.060976,-0.243902,0.243902,0.0,0.0,0.0
-0.003174,0.019043,1.000732,0.0,0.304878,0.243902,0.0,0.0,0.0
-0.005371,0.012695,1.0,0.243902,0.304878,0.304878,0.0,0.0,0.0
-0.001221,0.013672,1.001221,0.182927,0.121951,0.060976,0.0,0.0,0.0
-0.009033,0.015137,1.003418,0.304878,-0.182927,0.304878,0.0,0.0,0.0
-0.001953,0.004883,1.007812,0.487805,0.0,-0.060976,0.0,0.0,0.0
-0.003174,0.010498,1.004395,1.036585,0.121951,0.243902,0.0,0.0,0.0
-0.005859,0.018555,1.003906,0.731707,0.121951,-0.060976,0.0,0.0,0.0
-0.006592,0.014404,0.997314,1.036585,0.365854,0.060976,0.0,0.0,0.0
-0.008301,0.014893,1.005859,0.609756,0.121951,0.304878,0.0,0.0,0.0
-0.006104,0.01001,1.000977,0.487805,0.182927,0.304878,0.0,0.0,0.0
-0.005127,0.009277,1.002686,0.487805,-0.182927,0.426829,0.0,0.0,0.0
-0.00293,0.012451,1.001465,0.426829,0.060976,0.304878,0.0,0.0,0.0
-0.00415,0.016602,1.009033,0.853659,0.0,0.182927,0.0,0.0,0.0
-0.004395,0.00415,1.003174,1.585366,0.365854,0.304878,0.0,0.0,0.0
0.001221,0.00708,0.997803,0.0,0.426829,0.365854,0.0,0.0,0.0
-0.007568,0.013428,0.99585,0.0,0.365854,0.548781,0.0,0.0,0.0
-0.003418,0.04126,1.007324,0.670732,0.304878,1.036585,0.0,0.0,0.0
0.001953,-0.043701,0.949463,-5.060976,-0.670732,-1.768293,0.0,0.0,0.0
0.022217,-0.008057,0.984619,-2.012195,-2.195122,2.134146,0.0,0.0,0.0
0.015625,-0.031982,0.96582,-1.158537,-3.353659,4.02439,0.0,0.0,0.0
0.03833,0.016602,1.013672,-1.158537,-4.817073,7.378049,0.0,0.0,0.0
0.044434,0.043945,1.083496,-5.0,-3.841464,8.658537,0.0,0.0,0.0
0.165283,0.030762,0.977539,-7.621952,-7.439024,9.390244,0.0,0.0,0.0
-0.104248,0.10083,0.970459,-47.987804,-1.219512,27.804878,0.0,0.0,0.0
-0.084473,0.032959,1.053955,-50.487804,0.670732,77.926834,0.0,0.0,0.0
0.234619,-0.045654,1.056885,48.353661,3.597561,9.512196,0.0,0.0,0.0
0.053467,0.0271,0.959473,59.024391,1.097561,5.487805,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
