-0.008545,0.002197,0.98999,-0.304878,-1.463415,0.670732,0.0,0.0,0.0
-0.005859,0.004395,0.981934,-0.304878,-2.5,1.402439,0.0,0.0,0.0
-0.009766,0.000244,0.981689,-0.487805,-3.47561,1.097561,0.0,0.0,0.0
-0.008789,0.002441,0.991699,-0.792683,-6.036585,1.158537,0.0,0.0,0.0
-0.003418,-0.001465,1.025146,-1.402439,-6.158537,1.158537,0.0,0.0,0.0
-0.009766,0.008301,1.054199,-1.646341,-3.902439,0.853659,0.0,0.0,0.0
-0.015625,-0.002686,1.002441,1.52439,-0.060976,0.548781,0.0,0.0,0.0
-0.082764,0.007324,0.990967,2.560976,0.243902,-0.365854,0.0,0.0,0.0
-0.101562,-0.000488,1.008545,-0.182927,0.121951,1.402439,0.0,0.0,0.0
-0.234131,-0.010498,0.991699,1.158537,0.426829,3.902439,0.0,0.0,0.0
-0.057861,0.002197,0.995117,1.036585,0.548781,4.939024,0.0,0.0,0.0
-0.188721,0.030762,1.012695,0.182927,0.426829,5.670732,0.0,0.0,0.0
-0.227539,0.045654,1.006836,2.195122,0.609756,7.073171,0.0,0.0,0.0
-0.214355,0.065674,0.990234,5.97561,0.792683,7.682927,0.0,0.0,0.0
-0.230225,0.089355,1.011475,0.670732,0.670732,6.158537,0.0,0.0,0.0
-0.207764,0.081787,1.011963,0.731707,0.0,5.121951,0.0,0.0,0.0
-0.156738,0.065918,1.00293,1.158537,0.121951,3.414634,0.0,0.0,0.0
-0.217529,0.044678,0.997314,-0.182927,0.0,2.926829,0.0,0.0,0.0
-0.222168,0.032227,0.994385,-1.585366,0.0,2.682927,0.0,0.0,0.0
-0.219727,0.059814,0.986816,-0.792683,0.304878,2.073171,0.0,0.0,0.0
-0.197998,0.028076,1.011963,-2.195122,0.060976,0.670732,0.0,0.0,0.0
-0.197998,-0.015869,0.996582,-1.341463,0.0,2.743902,0.0,0.0,0.0
-0.162109,-0.031738,1.000488,0.182927,-0.609756,5.792683,0.0,0.0,0.0
-0.150879,-0.032227,1.014404,-2.378049,0.121951,8.353659,0.0,0.0,0.0
-0.198975,-0.078613,1.00293,-1.95122,0.0,9.817074,0.0,0.0,0.0
-0.199951,-0.099854,1.000977,-5.121951,-0.060976,13.780488,0.0,0.0,0.0
-0.16748,-0.083496,1.010498,-4.939024,-0.121951,18.780489,0.0,0.0,0.0
-0.230713,-0.044189,1.010986,-2.621951,0.426829,22.743902,0.0,0.0,0.0
-0.170898,-0.011719,1.019287,0.609756,0.731707,25.365854,0.0,0.0,0.0
-0.194092,-0.006348,1.011719,1.52439,0.609756,27.682928,0.0,0.0,0.0
-0.201172,0.057373,1.021973,10.97561,1.402439,31.402439,0.0,0.0,0.0
-0.169922,0.087158,0.971924,15.304878,1.219512,30.670732,0.0,0.0,0.0
