-0.004883,0.009521,1.003662,-0.121951,0.000000,0.121951,0.000000.1,0.000000.2,0.000000.3
0.000244,0.006104,1.007568,0.182927,0.121951,-0.243902,0.0,0.0,0.0
-0.001709,0.009033,1.003418,-0.365854,-0.060976,-0.121951,0.0,0.0,0.0
0.003418,0.004883,1.0,0.0,-0.060976,-0.243902,0.0,0.0,0.0
-0.001465,0.003418,0.998291,-0.121951,0.060976,-0.121951,0.0,0.0,0.0
-0.000732,0.00293,1.001221,0.243902,-0.365854,-0.182927,0.0,0.0,0.0
0.002197,0.01123,0.999756,-0.426829,-0.182927,-0.243902,0.0,0.0,0.0
-0.005127,0.010254,1.01001,-0.060976,-0.060976,0.182927,0.0,0.0,0.0
-0.003174,0.000732,1.004639,-0.060976,0.121951,-0.304878,0.0,0.0,0.0
0.004395,0.003174,1.006348,0.182927,-0.060976,-0.426829,0.0,0.0,0.0
0.0,0.014893,1.001221,-0.121951,-0.243902,-0.548781,0.0,0.0,0.0
0.002686,0.003418,0.996338,0.182927,0.426829,-0.548781,0.0,0.0,0.0
-0.003662,0.009766,1.000732,0.426829,0.0,-0.426829,0.0,0.0,0.0
-0.00293,0.009033,0.997314,-0.121951,0.060976,-0.243902,0.0,0.0,0.0
0.002686,0.006592,1.000244,0.0,-0.182927,-0.182927,0.0,0.0,0.0
-0.001953,0.00293,1.009521,0.0,-0.182927,-0.426829,0.0,0.0,0.0
0.006592,0.010498,1.003418,0.182927,0.0,-0.060976,0.0,0.0,0.0
0.000732,0.003906,1.000977,0.365854,0.121951,-0.304878,0.0,0.0,0.0
0.004395,-0.006104,1.009766,-0.365854,-0.060976,-0.182927,0.0,0.0,0.0
-0.004395,0.002686,1.005371,-0.121951,0.0,0.548781,0.0,0.0,0.0
0.004395,0.001953,1.001465,0.670732,-0.121951,0.304878,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
