0.004883,-0.008301,1.006104,-0.060976,0.000000,0.121951,0.000000.1,0.000000.2,0.000000.3
-0.090576,0.006592,0.989258,0.731707,0.060976,-10.731708,0.0,0.0,0.0
-0.140137,0.003174,1.008789,0.060976,-0.243902,-11.463415,0.0,0.0,0.0
-0.144043,-0.034668,0.991943,0.121951,0.121951,-9.756098,0.0,0.0,0.0
-0.143555,-0.048096,1.006348,-0.243902,-0.304878,-6.95122,0.0,0.0,0.0
-0.077393,-0.027832,1.003174,0.121951,-0.060976,-4.756098,0.0,0.0,0.0
-0.106445,-0.007324,1.000732,-0.97561,-0.121951,-4.085366,0.0,0.0,0.0
-0.106445,0.011719,1.000244,-0.731707,-0.121951,-3.536585,0.0,0.0,0.0
-0.075439,0.01709,1.003418,0.731707,-0.182927,-5.487805,0.0,0.0,0.0
-0.082031,0.036133,0.998291,1.341463,0.182927,-6.585366,0.0,0.0,0.0
-0.099854,0.029785,1.001709,0.243902,0.0,-7.865854,0.0,0.0,0.0
-0.074219,0.013672,0.999756,-0.853659,-0.182927,-9.939025,0.0,0.0,0.0
-0.079346,0.034668,1.005127,-1.341463,-0.060976,-10.426829,0.0,0.0,0.0
-0.077881,0.010986,1.006592,-0.243902,-0.426829,-10.304878,0.0,0.0,0.0
-0.065186,-0.0271,0.996582,-1.585366,-0.365854,-11.95122,0.0,0.0,0.0
-0.03125,-0.017578,1.008545,-0.548781,-0.304878,-11.280488,0.0,0.0,0.0
-0.084473,0.013672,1.003906,-0.304878,-0.304878,-10.487805,0.0,0.0,0.0
-0.073242,0.007324,0.999023,1.341463,0.121951,-10.853659,0.0,0.0,0.0
-0.057129,-0.00708,1.009766,-0.304878,-0.304878,-10.792684,0.0,0.0,0.0
-0.021973,-0.001953,1.0,0.609756,-0.426829,-10.54878,0.0,0.0,0.0
-0.026611,-0.016602,1.006592,0.0,-0.487805,-9.878049,0.0,0.0,0.0
-0.0271,0.016602,1.000977,-0.060976,-0.487805,-9.268292,0.0,0.0,0.0
-0.019043,0.016113,1.006836,-0.426829,-0.487805,-9.573171,0.0,0.0,0.0
-0.030762,0.002686,0.998535,0.609756,-0.121951,-9.390244,0.0,0.0,0.0
-0.050781,0.005859,1.003662,0.365854,-0.304878,-8.963415,0.0,0.0,0.0
-0.055176,0.009277,1.006104,0.731707,0.060976,-7.804878,0.0,0.0,0.0
-0.057617,0.00293,1.004639,0.243902,-0.426829,-7.804878,0.0,0.0,0.0
-0.054199,0.001221,1.0,0.304878,-0.304878,-7.865854,0.0,0.0,0.0
-0.054443,0.000244,0.999023,0.243902,-0.182927,-7.682927,0.0,0.0,0.0
-0.062256,0.003906,1.001953,-0.365854,0.0,-8.04878,0.0,0.0,0.0
-0.062256,0.008545,1.006592,0.182927,-0.060976,-7.073171,0.0,0.0,0.0
-0.073975,0.001465,1.0,-0.182927,-0.182927,-6.036585,0.0,0.0,0.0
-0.074463,0.004639,1.010742,0.121951,0.182927,-4.634146,0.0,0.0,0.0
-0.069092,0.009033,0.997314,-0.121951,-0.121951,-4.329268,0.0,0.0,0.0
-0.066895,0.010498,1.004883,0.182927,0.0,-3.47561,0.0,0.0,0.0
-0.055664,0.008057,1.000977,0.365854,-0.121951,-2.621951,0.0,0.0,0.0
-0.04834,0.007324,1.012695,0.0,-0.121951,-2.439024,0.0,0.0,0.0
-0.039795,0.005127,1.005371,0.0,-0.121951,-1.768293,0.0,0.0,0.0
-0.032471,0.01001,0.99585,-0.182927,0.060976,-1.646341,0.0,0.0,0.0
-0.030273,0.006592,1.00293,-0.426829,0.060976,-1.768293,0.0,0.0,0.0
-0.025879,0.003906,1.001221,-0.121951,0.060976,-1.585366,0.0,0.0,0.0
-0.035156,0.008789,1.00415,-0.365854,-0.060976,-1.52439,0.0,0.0,0.0
-0.033691,0.010498,1.006836,0.0,-0.121951,-1.097561,0.0,0.0,0.0
-0.057617,0.013428,0.999268,0.121951,0.060976,-0.426829,0.0,0.0,0.0
-0.009033,0.002686,1.002441,0.060976,0.304878,-0.182927,0.0,0.0,0.0
