-0.004883,0.016113,0.998291,0.0,-0.121951,0.060976,0.0,0.0,0.0
0.001709,0.016357,1.001953,-0.426829,0.121951,-0.060976,0.0,0.0,0.0
0.000732,0.015381,0.999023,-0.243902,-0.060976,0.0,0.0,0.0,0.0
0.001465,0.015137,1.001953,0.060976,0.060976,0.121951,0.0,0.0,0.0
0.00293,0.021484,1.003662,0.121951,0.121951,0.304878,0.0,0.0,0.0
0.000244,0.01416,1.000244,-0.121951,-0.060976,-0.121951,0.0,0.0,0.0
-0.000488,0.012939,1.00415,-0.060976,0.121951,-0.365854,0.0,0.0,0.0
-0.007568,0.017334,1.001221,-0.182927,0.060976,-0.243902,0.0,0.0,0.0
-0.00415,0.016602,1.005615,0.243902,0.121951,-0.182927,0.0,0.0,0.0
0.005371,0.022949,0.999512,0.0,0.060976,-0.426829,0.0,0.0,0.0
0.000977,0.01416,1.003174,-0.060976,-0.304878,-0.304878,0.0,0.0,0.0
-0.001221,0.011475,1.004883,-0.182927,-0.121951,-0.670732,0.0,0.0,0.0
0.001953,0.017334,1.002441,-0.060976,-0.243902,-0.609756,0.0,0.0,0.0
0.003906,0.016113,1.002197,0.121951,0.121951,-0.731707,0.0,0.0,0.0
0.005859,0.010254,1.005127,0.060976,0.060976,-0.97561,0.0,0.0,0.0
-0.004883,0.01416,1.00415,-0.426829,-0.182927,-0.97561,0.0,0.0,0.0
0.001709,0.011719,1.000732,-0.121951,-0.426829,-0.97561,0.0,0.0,0.0
0.01001,0.010986,1.008301,-0.487805,0.121951,-0.97561,0.0,0.0,0.0
0.016846,0.025635,0.997314,-0.121951,-0.304878,-0.914634,0.0,0.0,0.0
0.037354,0.030029,1.006348,-0.060976,0.060976,-1.097561,0.0,0.0,0.0
0.055664,0.005371,1.006104,0.243902,0.060976,-2.012195,0.0,0.0,0.0
0.113525,-0.004883,1.000977,-0.060976,0.0,-2.317073,0.0,0.0,0.0
0.218506,0.014404,1.000244,-0.853659,-0.365854,-4.695122,0.0,0.0,0.0
0.055908,-0.01416,1.022217,-2.743902,-0.182927,-3.597561,0.0,0.0,0.0
0.122314,0.000488,0.994873,1.52439,-0.121951,-2.195122,0.0,0.0,0.0
0.141113,-0.001709,1.009521,-0.548781,-0.426829,-3.353659,0.0,0.0,0.0
0.154541,-0.004883,1.001221,-0.365854,-0.060976,-4.207317,0.0,0.0,0.0
0.156006,-0.036377,0.999512,0.487805,0.426829,-3.780488,0.0,0.0,0.0
0.131836,-0.023682,0.999756,0.121951,0.060976,-2.743902,0.0,0.0,0.0
0.159668,-0.018066,1.002441,0.304878,0.243902,-1.829268,0.0,0.0,0.0
0.139648,0.000732,1.005371,-0.121951,0.060976,-0.731707,0.0,0.0,0.0
0.12915,0.013672,1.018799,0.914634,0.426829,-2.439024,0.0,0.0,0.0
0.096436,-0.044434,1.000244,0.548781,0.487805,-1.036585,0.0,0.0,0.0
0.083496,-0.011963,1.021729,-1.768293,0.609756,0.182927,0.0,0.0,0.0
0.089355,-0.001953,1.014404,0.0,0.609756,1.158537,0.0,0.0,0.0
0.093018,0.002441,1.006104,0.243902,0.121951,1.585366,0.0,0.0,0.0
0.054443,0.028076,1.009033,-0.060976,0.365854,1.585366,0.0,0.0,0.0
0.04541,0.016113,1.00293,0.365854,0.548781,1.890244,0.0,0.0,0.0
-0.015869,-0.013184,1.012207,-0.182927,0.914634,2.987805,0.0,0.0,0.0
-0.028564,0.039062,1.006592,1.52439,0.792683,5.853659,0.0,0.0,0.0
-0.032471,0.075195,1.018311,0.914634,0.97561,7.560976,0.0,0.0,0.0
