-0.155273,-0.056885,1.000244,2.804878,0.97561,16.402439,0.0,0.0,0.0
-0.037842,0.03418,1.025635,9.207317,0.97561,21.890244,0.0,0.0,0.0
0.010986,0.040283,1.01001,25.182928,2.682927,22.195122,0.0,0.0,0.0
-0.017578,0.051025,0.973389,15.365854,0.853659,19.756098,0.0,0.0,0.0
-0.057373,0.067139,0.99292,5.609756,0.609756,16.341463,0.0,0.0,0.0
-0.114746,0.045166,0.989746,7.926829,1.52439,13.780488,0.0,0.0,0.0
0.075195,0.039795,0.990234,0.0,0.609756,13.780488,0.0,0.0,0.0
0.013184,0.02124,0.97998,-1.768293,-0.121951,11.646341,0.0,0.0,0.0
0.02832,0.029541,1.020508,-5.670732,-0.121951,9.329268,0.0,0.0,0.0
0.018311,0.032715,0.989014,-4.756098,0.487805,8.231708,0.0,0.0,0.0
0.047852,0.03125,1.011963,-2.926829,0.182927,5.487805,0.0,0.0,0.0
0.03418,0.072998,0.969238,0.487805,0.487805,2.987805,0.0,0.0,0.0
0.073486,0.007812,0.988037,-0.609756,-0.182927,3.292683,0.0,0.0,0.0
0.125732,0.029785,0.9729,1.158537,0.426829,2.256098,0.0,0.0,0.0
0.065674,0.012207,1.002197,-3.109756,0.609756,2.073171,0.0,0.0,0.0
0.055908,-0.046875,0.98877,-2.5,0.243902,1.219512,0.0,0.0,0.0
0.176758,-0.018799,1.013428,-7.926829,0.487805,1.402439,0.0,0.0,0.0
0.049561,-0.015869,0.992188,-8.47561,-0.365854,0.182927,0.0,0.0,0.0
0.102051,-0.000244,1.028076,-4.146341,-0.609756,0.243902,0.0,0.0,0.0
0.119873,-0.02417,0.986816,-1.219512,0.182927,0.060976,0.0,0.0,0.0
0.077637,0.001465,1.009521,0.731707,0.060976,-0.243902,0.0,0.0,0.0
0.173584,0.006348,1.019775,1.158537,0.060976,0.121951,0.0,0.0,0.0
0.099609,0.020508,1.001221,0.487805,0.0,-0.97561,0.0,0.0,0.0
0.144287,-0.010254,0.994385,0.731707,-0.060976,-2.987805,0.0,0.0,0.0
0.166748,-0.000732,0.988281,0.426829,-1.158537,-4.390244,0.0,0.0,0.0
0.158936,-0.042236,1.005859,-1.219512,-0.609756,-5.914634,0.0,0.0,0.0
0.144043,-0.079102,0.989746,-4.329268,-0.121951,-5.792683,0.0,0.0,0.0
0.171143,-0.064941,1.006348,-4.146341,-0.487805,-5.487805,0.0,0.0,0.0
0.146973,-0.049561,1.011963,-7.195122,-1.280488,-5.365854,0.0,0.0,0.0
0.171143,-0.062988,0.994873,-1.95122,-0.731707,-5.060976,0.0,0.0,0.0
0.15332,-0.043213,1.012207,-0.426829,-0.97561,-5.97561,0.0,0.0,0.0
0.099365,-0.05835,0.998779,0.487805,-0.121951,-6.219512,0.0,0.0,0.0
0.148438,-0.026855,0.999512,-0.060976,-0.121951,-6.219512,0.0,0.0,0.0
0.10376,-0.058838,0.99585,0.365854,-0.121951,-7.439024,0.0,0.0,0.0
0.139893,-0.006836,1.005127,-0.731707,-0.182927,-6.219512,0.0,0.0,0.0
0.133545,-0.068359,0.994629,-1.280488,-0.365854,-6.402439,0.0,0.0,0.0
0.106689,-0.053223,1.006104,-1.219512,-0.487805,-5.609756,0.0,0.0,0.0
0.08374,-0.084473,1.001221,-2.682927,-0.365854,-4.329268,0.0,0.0,0.0
0.109619,-0.032471,1.030273,-1.158537,-0.243902,-2.621951,0.0,0.0,0.0
0.109375,-0.047607,0.998291,0.304878,0.0,-2.317073,0.0,0.0,0.0
0.107666,-0.023438,0.98877,1.158537,0.243902,-1.585366,0.0,0.0,0.0
0.089111,-0.023926,1.008057,0.609756,-0.060976,-0.487805,0.0,0.0,0.0
0.078857,-0.02002,1.00293,2.195122,-0.060976,-0.060976,0.0,0.0,0.0
0.083252,-0.002197,1.014648,0.487805,0.0,0.487805,0.0,0.0,0.0
0.062744,0.00708,1.019531,-0.060976,-0.304878,0.853659,0.0,0.0,0.0
0.074463,-0.020996,0.997314,-0.97561,-0.121951,2.012195,0.0,0.0,0.0
0.080322,0.000977,0.998779,0.121951,-0.243902,2.378049,0.0,0.0,0.0
