-0.007812,0.018555,1.002930,-0.182927,0.000000,-0.914634,0.000000.1,0.000000.2,0.000000.3
0.05835,-0.023193,1.008789,1.219512,-0.304878,3.597561,0.0,0.0,0.0
0.025391,0.017334,1.005371,0.670732,-0.243902,3.170732,0.0,0.0,0.0
0.069824,0.021484,0.99707,1.95122,-0.243902,1.707317,0.0,0.0,0.0
0.091797,0.039062,1.003662,-0.548781,0.0,1.890244,0.0,0.0,0.0
0.057129,0.02832,1.006592,-0.792683,-0.060976,1.341463,0.0,0.0,0.0
0.036621,0.005615,0.996826,-0.243902,-0.365854,-0.121951,0.0,0.0,0.0
0.062256,-0.000732,1.003174,-1.341463,0.487805,0.121951,0.0,0.0,0.0
0.066406,-0.005615,0.998047,-0.487805,-0.304878,-1.95122,0.0,0.0,0.0
0.118164,0.020996,0.994629,-0.487805,-0.060976,0.0,0.0,0.0,0.0
0.09668,0.010254,1.000977,0.121951,-0.365854,-0.670732,0.0,0.0,0.0
0.111816,0.019287,1.009521,-0.304878,-0.487805,-0.609756,0.0,0.0,0.0
0.090332,0.019043,0.998291,-0.365854,-0.121951,-0.609756,0.0,0.0,0.0
0.104736,0.005371,0.992432,-0.304878,-0.426829,-1.829268,0.0,0.0,0.0
0.100098,-0.010254,1.000244,-0.121951,-0.304878,-1.219512,0.0,0.0,0.0
0.102295,-0.00415,1.000488,0.182927,-0.243902,-0.548781,0.0,0.0,0.0
0.087402,-0.038086,1.000732,-0.914634,-0.365854,-0.121951,0.0,0.0,0.0
0.123047,-0.000244,1.000977,0.182927,-0.060976,1.158537,0.0,0.0,0.0
0.080566,0.000488,1.012207,-0.487805,-0.304878,1.463415,0.0,0.0,0.0
0.088379,0.003418,1.001221,1.280488,-0.182927,1.890244,0.0,0.0,0.0
0.102783,0.026123,0.998535,0.426829,0.060976,2.5,0.0,0.0,0.0
0.073975,0.011475,1.001221,0.060976,0.0,3.04878,0.0,0.0,0.0
0.074463,0.030029,0.999268,0.365854,0.121951,2.987805,0.0,0.0,0.0
0.091797,0.038086,1.000977,0.060976,-0.365854,2.621951,0.0,0.0,0.0
0.084473,0.034424,1.010254,-0.304878,0.0,2.378049,0.0,0.0,0.0
0.068848,0.05957,0.999512,0.060976,-0.304878,1.95122,0.0,0.0,0.0
0.079834,0.026855,1.002686,-0.060976,-0.243902,1.341463,0.0,0.0,0.0
0.068359,0.035645,0.994141,-0.121951,-0.060976,1.341463,0.0,0.0,0.0
0.058838,0.007812,0.999023,-0.060976,-0.182927,0.914634,0.0,0.0,0.0
0.049072,0.014648,1.007812,-0.304878,-0.182927,0.97561,0.0,0.0,0.0
0.037354,0.010498,0.99707,-0.426829,-0.304878,0.609756,0.0,0.0,0.0
0.058105,0.034424,1.001221,0.121951,0.0,0.731707,0.0,0.0,0.0
0.03125,0.009277,1.003906,-0.365854,-0.121951,0.670732,0.0,0.0,0.0
0.044678,0.024658,0.999512,0.060976,0.487805,1.280488,0.0,0.0,0.0
0.016113,0.020508,0.998291,0.304878,0.060976,1.158537,0.0,0.0,0.0
0.016602,0.012695,1.004639,-0.243902,0.182927,1.829268,0.0,0.0,0.0
-0.019531,-0.008057,1.004639,0.0,0.121951,1.036585,0.0,0.0,0.0
0.016113,0.030273,1.001465,0.243902,0.060976,2.743902,0.0,0.0,0.0
0.019775,0.022949,1.000244,-0.487805,0.121951,1.097561,0.0,0.0,0.0
0.003662,0.008057,1.005127,0.304878,0.0,1.097561,0.0,0.0,0.0
-0.017578,-0.011475,1.000488,0.487805,0.243902,1.280488,0.0,0.0,0.0
0.069092,0.086426,1.001953,0.609756,0.182927,2.012195,0.0,0.0,0.0
-0.007568,0.013428,1.012939,-1.890244,-0.243902,0.060976,0.0,0.0,0.0
-0.009277,0.01001,1.004395,-0.426829,0.060976,0.304878,0.0,0.0,0.0
-0.046875,-0.039795,0.995361,0.243902,-0.182927,0.365854,0.0,0.0,0.0
0.018799,0.095215,1.01001,0.548781,0.487805,2.012195,0.0,0.0,0.0
-0.022217,0.012695,1.01123,-1.890244,-0.426829,0.304878,0.0,0.0,0.0
-0.013916,0.01416,0.999512,-0.548781,0.121951,0.609756,0.0,0.0,0.0
-0.041016,0.003418,1.023682,-0.97561,0.0,3.04878,0.0,0.0,0.0
0.028564,0.023926,1.000488,-0.853659,-0.121951,0.609756,0.0,0.0,0.0
0.001465,0.009033,1.003418,1.219512,0.0,1.280488,0.0,0.0,0.0
-0.058594,-0.056396,1.001709,-0.426829,0.0,2.378049,0.0,0.0,0.0
0.064453,0.08374,0.990723,1.768293,0.243902,2.987805,0.0,0.0,0.0
-0.02124,0.012939,1.020996,-1.341463,-0.121951,2.012195,0.0,0.0,0.0
-0.065918,-0.062744,1.013184,-1.341463,-0.121951,3.353659,0.0,0.0,0.0
0.041992,0.074219,0.980957,4.573171,0.182927,3.902439,0.0,0.0,0.0
-0.010254,0.012451,1.029297,-2.743902,0.121951,2.621951,0.0,0.0,0.0
