0.002197,0.019775,1.00415,-0.060976,0.243902,0.121951,0.0,0.0,0.0
-0.00293,0.02124,1.003662,0.0,0.304878,0.0,0.0,0.0,0.0
-0.006348,0.017578,1.002441,-0.121951,0.0,0.121951,0.0,0.0,0.0
-0.005859,0.023438,1.001221,-0.121951,-0.060976,0.121951,0.0,0.0,0.0
0.002441,0.015137,1.000244,0.060976,-0.121951,-0.121951,0.0,0.0,0.0
-0.005859,0.01709,1.000977,0.060976,0.0,-0.060976,0.0,0.0,0.0
-0.004395,0.014893,0.998535,-0.182927,0.182927,0.121951,0.0,0.0,0.0
0.000732,0.037354,1.013428,-0.304878,-0.121951,0.060976,0.0,0.0,0.0
0.003662,0.02002,0.999512,0.243902,0.182927,0.243902,0.0,0.0,0.0
-0.003418,0.015137,0.998535,0.426829,0.060976,0.0,0.0,0.0,0.0
-0.006836,0.017578,1.003174,0.0,0.060976,-0.243902,0.0,0.0,0.0
-0.00293,0.020264,1.001709,0.121951,-0.304878,-0.060976,0.0,0.0,0.0
-0.010254,0.02124,1.0,0.0,-0.060976,-0.426829,0.0,0.0,0.0
-0.011475,0.018555,1.007568,-0.487805,0.060976,-1.280488,0.0,0.0,0.0
-0.009033,0.015625,1.004639,0.914634,0.0,-1.95122,0.0,0.0,0.0
0.045654,0.010498,1.001221,0.731707,-0.121951,-2.073171,0.0,0.0,0.0
0.008545,0.012207,1.011475,-0.853659,0.060976,-0.487805,0.0,0.0,0.0
0.009033,0.013428,0.990479,0.304878,0.182927,0.121951,0.0,0.0,0.0
-0.004883,0.030518,1.001709,1.707317,0.182927,0.121951,0.0,0.0,0.0
0.00293,0.021484,1.003662,-1.158537,-0.060976,0.0,0.0,0.0,0.0
-0.002197,0.010254,1.00708,-0.548781,0.060976,0.243902,0.0,0.0,0.0
-0.006348,0.018799,1.004883,0.121951,0.121951,0.0,0.0,0.0,0.0
-0.006836,0.01416,1.003418,-0.121951,-0.060976,0.121951,0.0,0.0,0.0
-0.001221,0.022461,1.007812,-0.914634,0.0,-0.182927,0.0,0.0,0.0
-0.006348,0.022705,1.001953,0.121951,0.243902,0.182927,0.0,0.0,0.0
-0.002686,0.022949,1.00415,0.426829,0.0,-0.121951,0.0,0.0,0.0
0.001953,0.021973,1.003906,0.548781,-0.121951,0.060976,0.0,0.0,0.0
-0.009033,0.018066,0.999756,-0.121951,-0.060976,0.0,0.0,0.0,0.0
-0.004395,0.01709,1.002441,0.060976,0.0,-0.121951,0.0,0.0,0.0
-0.008545,0.010986,1.0,-0.121951,-0.121951,0.0,0.0,0.0,0.0
0.000244,0.01416,1.006348,-0.365854,0.0,0.182927,0.0,0.0,0.0
-0.004883,0.024414,1.004395,-0.121951,-0.060976,0.121951,0.0,0.0,0.0
-0.003174,0.018799,1.000244,0.060976,-0.121951,0.182927,0.0,0.0,0.0
-0.001953,0.026123,1.001953,0.0,0.0,0.426829,0.0,0.0,0.0
-0.003418,0.018555,1.000244,-0.060976,0.121951,0.365854,0.0,0.0,0.0
-0.006348,0.019775,0.999756,-0.121951,0.0,-0.060976,0.0,0.0,0.0
