0.102295,0.01123,0.981934,1.219512,0.853659,7.865854,0.0,0.0,0.0
0.171387,0.004883,1.007324,0.792683,0.609756,8.47561,0.0,0.0,0.0
0.195801,-0.057861,1.002197,-1.585366,0.670732,9.695122,0.0,0.0,0.0
0.188232,-0.023682,0.978027,0.609756,0.548781,10.243902,0.0,0.0,0.0
0.184082,-0.001465,1.013428,0.609756,1.036585,8.597561,0.0,0.0,0.0
0.192871,-0.00415,0.996094,0.914634,0.609756,6.707317,0.0,0.0,0.0
0.155762,0.015137,0.998779,0.548781,0.609756,4.085366,0.0,0.0,0.0
0.169678,0.047607,1.011475,3.902439,1.036585,0.487805,0.0,0.0,0.0
0.296143,0.531982,1.96167,-263.902435,3.109756,-178.902451,0.0,0.0,0.0
0.030273,-0.155029,1.999023,-107.439026,22.743902,-9.817074,0.0,0.0,0.0
0.124512,-0.052734,0.997314,0.548781,0.060976,-18.414635,0.0,0.0,0.0
0.110596,-0.063477,1.014893,0.182927,-0.426829,-15.670732,0.0,0.0,0.0
0.045654,0.003174,1.023926,0.792683,0.182927,-16.707317,0.0,0.0,0.0
0.084717,-0.051758,0.999756,-5.0,0.97561,-18.353659,0.0,0.0,0.0
0.079346,-0.059326,1.039062,1.341463,0.060976,-17.256098,0.0,0.0,0.0
0.050781,-0.008057,0.972412,8.414635,-3.353659,-15.487805,0.0,0.0,0.0
0.040527,0.0,0.956055,0.426829,-0.182927,-15.304878,0.0,0.0,0.0
-0.016846,0.010742,1.060547,0.853659,-0.548781,-15.914635,0.0,0.0,0.0
0.012939,0.046387,0.986084,5.243903,1.402439,-16.341463,0.0,0.0,0.0
-0.020264,0.054443,0.999023,6.036585,2.743902,-18.475611,0.0,0.0,0.0
-0.033203,0.023193,1.036621,10.731708,2.560976,-15.060976,0.0,0.0,0.0
-0.007812,0.019287,1.03418,-2.743902,-2.926829,-4.085366,0.0,0.0,0.0
-0.031738,-0.046631,0.928955,-2.134146,-1.890244,10.792684,0.0,0.0,0.0
-0.038818,-0.02124,1.002441,-13.231708,-3.719512,16.524391,0.0,0.0,0.0
0.065674,-0.268555,0.916504,23.719513,8.231708,-12.195122,0.0,0.0,0.0
-0.050537,-0.035889,1.004395,-5.0,-1.036585,-13.353659,0.0,0.0,0.0
0.008789,-0.055664,1.012451,11.280488,5.365854,-9.695122,0.0,0.0,0.0
-0.054688,-0.054199,0.953613,2.743902,0.0,-12.743903,0.0,0.0,0.0
-0.052002,-0.059326,1.009521,2.439024,-0.304878,-9.146341,0.0,0.0,0.0
-0.079346,0.000977,0.972656,6.402439,-1.036585,-7.621952,0.0,0.0,0.0
-0.066162,-0.019531,1.008789,2.439024,0.060976,-7.256098,0.0,0.0,0.0
-0.07959,0.004395,0.95752,1.829268,-0.182927,-7.5,0.0,0.0,0.0
-0.07373,-0.010254,1.058594,-1.341463,0.182927,-7.926829,0.0,0.0,0.0
-0.217529,-0.001709,1.044922,4.939024,0.731707,-9.207317,0.0,0.0,0.0
-0.056641,-0.02124,0.991211,8.414635,0.121951,-8.04878,0.0,0.0,0.0
-0.07251,-0.037354,1.074951,-6.95122,-0.365854,-9.878049,0.0,0.0,0.0
-0.107178,-0.037109,1.020996,-9.207317,-0.609756,-9.878049,0.0,0.0,0.0
-0.074219,-0.020264,1.039551,-0.731707,-0.97561,-10.731708,0.0,0.0,0.0
-0.083496,-0.01001,0.977051,1.158537,-0.548781,-10.243902,0.0,0.0,0.0
-0.059326,-0.033447,0.964111,-5.487805,-0.060976,-9.939025,0.0,0.0,0.0
-0.074951,-0.029541,1.018311,-1.707317,-0.304878,-8.658537,0.0,0.0,0.0
-0.054688,-0.024658,0.993896,0.731707,-0.853659,-8.963415,0.0,0.0,0.0
-0.102051,-0.041504,1.029785,-0.487805,-0.914634,-8.353659,0.0,0.0,0.0
-0.092041,-0.030029,1.008545,0.304878,0.548781,-7.804878,0.0,0.0,0.0
-0.105957,-0.007568,1.0271,0.060976,-0.426829,-9.02439,0.0,0.0,0.0
-0.083984,-0.043701,1.020752,-1.158537,0.182927,-10.97561,0.0,0.0,0.0
-0.10083,-0.035889,1.032959,-0.670732,0.121951,-13.658537,0.0,0.0,0.0
-0.039551,-0.068604,1.020264,-2.5,-0.914634,-11.219512,0.0,0.0,0.0
-0.067383,-0.040283,0.986084,0.914634,-0.97561,-17.134148,0.0,0.0,0.0
