0.150146,-0.027344,0.992676,-1.524390,0.000000,-1.707317,0.000000.1,0.000000.2,0.000000.3
0.052734,0.040283,0.99292,1.341463,-0.182927,-3.536585,0.0,0.0,0.0
0.022949,0.030029,1.011963,1.52439,0.243902,-4.817073,0.0,0.0,0.0
-0.010498,0.050049,0.996582,1.646341,-0.548781,-5.670732,0.0,0.0,0.0
0.019531,0.031982,1.006836,0.365854,-0.487805,-7.560976,0.0,0.0,0.0
0.027588,0.029297,1.013672,1.219512,-0.853659,-7.621952,0.0,0.0,0.0
-0.024658,0.043701,0.990967,0.060976,-0.609756,-7.926829,0.0,0.0,0.0
-0.016113,0.039307,1.018066,-1.280488,-0.365854,-9.268292,0.0,0.0,0.0
-0.01123,0.04248,1.00293,-0.731707,-0.670732,-10.365854,0.0,0.0,0.0
-0.022217,0.048828,0.981201,0.914634,-0.426829,-10.853659,0.0,0.0,0.0
-0.0271,0.051514,1.016602,0.304878,-0.365854,-11.646341,0.0,0.0,0.0
-0.03125,0.016846,1.007568,-0.609756,-0.182927,-11.890244,0.0,0.0,0.0
-0.043457,0.005371,0.998291,0.731707,-0.670732,-10.54878,0.0,0.0,0.0
-0.087891,0.038086,0.998047,0.365854,-0.731707,-10.731708,0.0,0.0,0.0
-0.010254,0.035156,1.008057,0.304878,-0.365854,-11.768293,0.0,0.0,0.0
-0.06665,0.029297,1.012207,-0.182927,-0.548781,-10.914635,0.0,0.0,0.0
-0.055908,0.052979,0.982666,2.743902,-0.365854,-12.256098,0.0,0.0,0.0
-0.10083,0.053467,0.991699,-0.853659,-0.365854,-14.512196,0.0,0.0,0.0
-0.109375,0.064941,1.005615,0.853659,-0.487805,-15.243903,0.0,0.0,0.0
-0.089111,0.00415,1.003906,-0.914634,-0.548781,-15.182927,0.0,0.0,0.0
-0.108643,0.030518,0.999268,0.365854,-1.158537,-15.182927,0.0,0.0,0.0
-0.085449,-0.012695,0.983887,-0.487805,-0.792683,-17.012196,0.0,0.0,0.0
-0.113037,0.014893,0.998779,-4.512195,-0.670732,-15.54878,0.0,0.0,0.0
-0.138428,0.00293,1.018555,-3.04878,-0.670732,-15.731708,0.0,0.0,0.0
-0.130615,-0.021484,0.996338,1.341463,-0.853659,-14.878049,0.0,0.0,0.0
-0.171631,0.018066,1.012207,0.121951,-0.670732,-16.158537,0.0,0.0,0.0
-0.096436,-0.041504,1.000732,1.95122,-0.792683,-15.182927,0.0,0.0,0.0
-0.156738,-0.055908,1.003418,-1.95122,-0.365854,-13.902439,0.0,0.0,0.0
-0.147705,-0.05957,0.987061,-2.195122,-0.548781,-11.646341,0.0,0.0,0.0
-0.11499,-0.013672,1.013428,-4.878049,-0.548781,-10.792684,0.0,0.0,0.0
-0.140625,-0.02124,1.008789,-1.52439,-0.609756,-10.487805,0.0,0.0,0.0
-0.099609,-0.043701,0.984375,0.121951,-0.487805,-7.5,0.0,0.0,0.0
-0.094727,0.000244,1.00415,0.426829,-0.182927,-6.646342,0.0,0.0,0.0
-0.098389,0.01001,1.0,2.926829,0.0,-7.926829,0.0,0.0,0.0
-0.141357,0.00293,1.009521,1.585366,-0.487805,-7.378049,0.0,0.0,0.0
-0.093994,-0.004395,1.0,3.902439,-0.426829,-5.853659,0.0,0.0,0.0
-0.102051,0.004639,1.002441,-0.426829,-0.365854,-5.97561,0.0,0.0,0.0
