0.016357,-0.001953,0.989258,-10.243902,-0.243902,-0.548781,0.0,0.0,0.0
0.035645,0.027588,1.009277,1.158537,0.182927,-0.548781,0.0,0.0,0.0
-0.088135,0.059082,0.998047,1.158537,-0.365854,-0.853659,0.0,0.0,0.0
-0.014648,0.016602,1.002441,-0.182927,-0.243902,-1.890244,0.0,0.0,0.0
-0.092529,0.054199,0.982666,2.682927,0.182927,-1.158537,0.0,0.0,0.0
-0.010742,0.013428,0.98877,1.463415,0.121951,-0.97561,0.0,0.0,0.0
-0.096924,0.02417,0.99585,0.487805,0.0,-1.646341,0.0,0.0,0.0
-0.134766,0.038574,1.011963,-0.304878,0.243902,-1.097561,0.0,0.0,0.0
-0.101074,0.028076,0.991455,7.743903,-0.426829,-2.378049,0.0,0.0,0.0
-0.077393,0.012207,0.995117,6.219512,-0.914634,-3.292683,0.0,0.0,0.0
-0.056152,0.066895,1.011963,4.02439,-0.243902,-3.414634,0.0,0.0,0.0
-0.039307,0.066162,1.010254,2.012195,0.121951,-5.060976,0.0,0.0,0.0
-0.14502,0.011963,0.972412,10.121951,-0.060976,-6.585366,0.0,0.0,0.0
-0.104736,0.043457,1.007324,0.914634,-0.121951,-8.04878,0.0,0.0,0.0
-0.18335,0.015625,0.976807,-0.853659,-0.731707,-8.658537,0.0,0.0,0.0
0.024414,-0.038818,1.014893,0.426829,-0.365854,-8.353659,0.0,0.0,0.0
-0.088867,0.007568,0.993896,-12.195122,-0.914634,-6.707317,0.0,0.0,0.0
-0.129639,0.014404,1.035156,-13.47561,-1.158537,-6.402439,0.0,0.0,0.0
-0.065186,0.016113,1.015137,2.987805,-0.426829,-5.54878,0.0,0.0,0.0
-0.088623,0.017578,1.011475,-3.04878,-0.670732,-5.365854,0.0,0.0,0.0
-0.065186,0.032471,1.018555,7.195122,-0.365854,-5.487805,0.0,0.0,0.0
-0.109375,0.001465,0.995117,16.646341,0.304878,-6.219512,0.0,0.0,0.0
-0.052734,0.040527,0.995605,16.829269,-0.548781,-5.97561,0.0,0.0,0.0
-0.107422,0.020996,0.970459,7.012195,-0.426829,-5.792683,0.0,0.0,0.0
-0.077637,-0.016113,0.992676,-1.097561,-0.609756,-6.829268,0.0,0.0,0.0
-0.070068,0.023926,0.991455,0.0,-0.426829,-7.317073,0.0,0.0,0.0
-0.052002,0.028076,1.017334,-2.195122,-0.487805,-6.585366,0.0,0.0,0.0
-0.072021,0.012451,0.987061,0.0,-0.365854,-7.987805,0.0,0.0,0.0
-0.065918,0.030029,1.01001,-0.670732,-0.304878,-8.719512,0.0,0.0,0.0
-0.123779,0.042236,1.002686,0.670732,-0.487805,-9.695122,0.0,0.0,0.0
-0.094238,0.000732,0.991943,1.341463,-0.182927,-10.304878,0.0,0.0,0.0
-0.053955,0.029785,1.001709,0.304878,-0.060976,-9.329268,0.0,0.0,0.0
-0.068604,0.021484,1.001465,0.182927,-0.243902,-11.585366,0.0,0.0,0.0
-0.091797,0.019531,0.999756,1.829268,-0.365854,-10.54878,0.0,0.0,0.0
-0.076172,0.038818,1.012207,-0.426829,-0.243902,-10.914635,0.0,0.0,0.0
-0.091309,-0.006836,1.003418,-0.304878,-0.121951,-10.670732,0.0,0.0,0.0
-0.069092,-0.005615,1.006104,0.731707,0.304878,-8.963415,0.0,0.0,0.0
-0.056641,-0.013672,1.008789,-1.402439,-0.121951,-8.292683,0.0,0.0,0.0
-0.102539,0.039307,1.008789,1.646341,0.426829,-6.890244,0.0,0.0,0.0
-0.084961,0.016113,0.994873,-1.341463,0.060976,-5.670732,0.0,0.0,0.0
-0.042725,-0.026123,0.980957,1.585366,0.304878,-3.780488,0.0,0.0,0.0
-0.10791,0.008789,1.008789,-2.682927,-0.243902,-1.219512,0.0,0.0,0.0
-0.072998,0.062256,0.991211,3.47561,-0.060976,0.426829,0.0,0.0,0.0
-0.105225,0.046631,1.015381,-0.426829,-0.304878,0.060976,0.0,0.0,0.0
-0.060547,0.033936,0.987061,1.341463,-0.243902,2.195122,0.0,0.0,0.0
-0.084229,0.034424,0.99707,0.243902,-0.060976,2.134146,0.0,0.0,0.0
-0.084717,0.054443,0.982666,0.792683,-0.426829,2.012195,0.0,0.0,0.0
-0.072266,0.06958,1.001953,-0.670732,-0.182927,1.463415,0.0,0.0,0.0
-0.084473,0.065186,0.98877,-1.585366,-0.609756,1.646341,0.0,0.0,0.0
-0.064209,0.032227,0.998291,-1.341463,-0.182927,1.402439,0.0,0.0,0.0
-0.064941,0.049805,0.991211,-0.670732,0.060976,2.560976,0.0,0.0,0.0
-0.109619,0.06543,1.012939,-0.97561,-0.121951,1.707317,0.0,0.0,0.0
-0.078613,0.062744,0.995117,0.609756,0.0,1.829268,0.0,0.0,0.0
-0.074707,0.04248,0.999023,-0.487805,-0.060976,1.402439,0.0,0.0,0.0
-0.081543,0.029785,0.998291,-0.548781,-0.121951,1.158537,0.0,0.0,0.0
