-0.001709,0.003174,1.006836,0.000000,-0.060976,-0.060976.1,0.000000.1,0.000000.2,0.000000.3
0.176025,-0.017822,0.996826,0.0,-0.060976,1.768293,0.0,0.0,0.0
0.149658,-0.018799,1.009521,-2.012195,0.487805,1.585366,0.0,0.0,0.0
0.102783,-0.002686,0.995361,-0.060976,0.243902,0.914634,0.0,0.0,0.0
0.101074,-0.033936,1.005127,0.304878,0.121951,1.402439,0.0,0.0,0.0
0.131836,0.003418,1.004883,1.402439,0.0,1.95122,0.0,0.0,0.0
0.143799,-0.014404,0.994873,-0.609756,0.365854,2.012195,0.0,0.0,0.0
0.090332,-0.003418,1.01001,-0.914634,-0.426829,2.134146,0.0,0.0,0.0
0.082031,-0.012695,0.997314,0.487805,-0.121951,2.195122,0.0,0.0,0.0
0.121826,-0.009521,1.024414,1.097561,0.0,1.95122,0.0,0.0,0.0
0.088623,-0.000244,0.989014,0.365854,-0.182927,2.439024,0.0,0.0,0.0
0.087646,-0.001709,1.003662,0.365854,0.548781,1.768293,0.0,0.0,0.0
0.111816,-0.000244,1.026123,-0.304878,0.182927,1.036585,0.0,0.0,0.0
0.125488,-0.021729,1.001221,-0.426829,0.243902,0.731707,0.0,0.0,0.0
0.107178,-0.012451,1.009033,-0.060976,-0.121951,0.670732,0.0,0.0,0.0
0.107422,0.019775,0.994629,0.060976,0.060976,1.280488,0.0,0.0,0.0
0.089844,-0.004395,1.00293,-1.219512,-0.365854,0.060976,0.0,0.0,0.0
0.123535,-0.012939,0.995117,-0.548781,-0.365854,0.182927,0.0,0.0,0.0
0.082031,-0.014648,1.000977,-0.121951,0.182927,0.426829,0.0,0.0,0.0
0.065186,-0.033447,0.991211,-0.548781,-0.060976,0.548781,0.0,0.0,0.0
0.070068,-0.021973,0.990723,0.243902,0.060976,1.219512,0.0,0.0,0.0
0.064453,-0.028564,0.99707,0.0,0.121951,1.463415,0.0,0.0,0.0
0.064453,-0.039551,1.009277,0.243902,0.0,2.439024,0.0,0.0,0.0
0.075684,-0.023193,1.004395,-0.304878,0.0,3.47561,0.0,0.0,0.0
0.038818,-0.005859,1.009521,0.121951,-0.121951,3.47561,0.0,0.0,0.0
0.067871,0.004883,0.997559,1.585366,0.182927,4.085366,0.0,0.0,0.0
0.075684,0.015381,1.004639,0.487805,0.0,3.536585,0.0,0.0,0.0
0.054443,0.019287,0.995361,2.682927,0.304878,2.682927,0.0,0.0,0.0
0.046143,0.006836,0.999023,1.890244,0.0,1.52439,0.0,0.0,0.0
0.056152,0.002197,0.99585,-0.426829,-0.060976,0.365854,0.0,0.0,0.0
0.044189,-0.005371,1.006348,-0.182927,0.121951,0.0,0.0,0.0,0.0
