0.035645,-0.006104,0.998535,-0.243902,0.182927,0.182927.1,0.000000,0.000000.1,0.000000.2
0.054932,-0.016846,1.008789,1.280488,-0.121951,3.902439,0.0,0.0,0.0
0.119873,-0.051758,1.010986,3.353659,0.731707,3.841464,0.0,0.0,0.0
0.143555,-0.059326,1.001709,5.121951,0.731707,4.512195,0.0,0.0,0.0
0.147461,-0.054199,1.001709,2.804878,0.060976,2.987805,0.0,0.0,0.0
0.119141,-0.048096,1.005127,-1.646341,-0.121951,2.743902,0.0,0.0,0.0
0.160645,-0.051758,1.00415,-3.536585,0.609756,1.036585,0.0,0.0,0.0
0.182129,-0.053223,0.994385,-3.231707,0.243902,-0.060976,0.0,0.0,0.0
0.068848,-0.098633,1.005127,-1.829268,-0.792683,-0.914634,0.0,0.0,0.0
0.138428,-0.08667,1.017578,-0.670732,-0.487805,2.682927,0.0,0.0,0.0
0.238525,-0.063721,0.980957,-1.280488,-0.426829,5.792683,0.0,0.0,0.0
0.14502,-0.050293,0.998779,-2.560976,-0.182927,6.646342,0.0,0.0,0.0
0.159912,-0.051758,1.011963,-0.731707,-0.060976,7.987805,0.0,0.0,0.0
0.168457,-0.027832,1.011719,-0.304878,-0.121951,8.170732,0.0,0.0,0.0
0.162598,-0.022461,1.006836,1.219512,0.365854,7.987805,0.0,0.0,0.0
0.210205,-0.001465,1.008545,2.378049,0.060976,6.890244,0.0,0.0,0.0
0.205566,-0.005859,0.985107,0.97561,-0.731707,5.853659,0.0,0.0,0.0
0.1604,-0.00293,1.000732,0.914634,-0.304878,4.634146,0.0,0.0,0.0
0.196533,0.0,1.000488,1.097561,0.060976,2.682927,0.0,0.0,0.0
0.194824,-0.024414,0.997314,0.0,-0.060976,1.097561,0.0,0.0,0.0
0.184082,-0.021973,1.004395,0.304878,0.304878,0.365854,0.0,0.0,0.0
0.168213,-0.018555,1.001709,0.426829,0.243902,0.487805,0.0,0.0,0.0
0.174316,-0.050537,1.004395,-0.731707,0.304878,0.548781,0.0,0.0,0.0
0.162109,-0.041504,1.007812,-0.304878,-0.365854,1.341463,0.0,0.0,0.0
0.1604,-0.018311,0.999512,-0.365854,-0.182927,2.012195,0.0,0.0,0.0
0.150879,-0.017578,1.005371,0.243902,-0.060976,2.5,0.0,0.0,0.0
0.14209,0.005615,1.000244,1.280488,0.060976,2.378049,0.0,0.0,0.0
0.144775,0.015137,1.006836,2.195122,0.182927,1.646341,0.0,0.0,0.0
0.128174,0.029785,1.00415,4.939024,0.426829,0.914634,0.0,0.0,0.0
0.135254,0.031982,0.999268,3.658537,0.182927,0.0,0.0,0.0,0.0
0.133057,0.013428,1.001953,-0.121951,-0.121951,-1.463415,0.0,0.0,0.0
0.119873,0.006104,1.000977,0.121951,-0.060976,-1.890244,0.0,0.0,0.0
0.141846,0.014648,0.997314,-0.060976,-0.182927,-2.134146,0.0,0.0,0.0
0.102783,-0.007812,1.003906,-0.731707,0.182927,-2.134146,0.0,0.0,0.0
0.110107,0.014404,1.001709,0.121951,0.243902,-1.890244,0.0,0.0,0.0
0.102295,-0.004395,1.000244,-0.121951,-0.060976,-1.463415,0.0,0.0,0.0
0.0896,0.00415,1.009277,0.121951,0.060976,-1.158537,0.0,0.0,0.0
0.091309,0.01001,1.003418,-0.365854,-0.182927,-0.97561,0.0,0.0,0.0
0.071777,-0.00415,1.008301,0.060976,-0.060976,-0.426829,0.0,0.0,0.0
0.001221,-0.003174,1.002686,-0.121951,0.243902,-0.182927,0.0,0.0,0.0
-0.001953,-0.001953,1.0,-0.304878,0.0,0.121951,0.0,0.0,0.0
0.003906,0.004395,1.004883,-0.121951,-0.182927,0.060976,0.0,0.0,0.0
-0.004639,-0.000977,1.001221,-0.304878,0.060976,-0.060976,0.0,0.0,0.0
-0.001953,-0.001465,1.002197,-0.121951,0.121951,0.121951,0.0,0.0,0.0
-0.001465,0.001221,1.001709,0.060976,-0.121951,-0.060976,0.0,0.0,0.0
-0.000977,-0.001465,1.003418,0.060976,0.060976,-0.060976,0.0,0.0,0.0
-0.002197,0.00415,1.001953,-0.060976,0.304878,0.365854,0.0,0.0,0.0
0.009033,-0.001953,1.003906,0.121951,0.0,0.0,0.0,0.0,0.0
0.000732,0.003174,1.006104,0.121951,-0.182927,0.060976,0.0,0.0,0.0
-0.002197,0.000244,1.002441,-0.182927,-0.060976,0.365854,0.0,0.0,0.0
0.000977,0.000732,1.002441,0.060976,0.121951,0.060976,0.0,0.0,0.0
0.0,-0.002686,0.997803,-0.060976,-0.121951,0.182927,0.0,0.0,0.0
-0.001953,-0.006104,1.000977,0.0,0.304878,0.182927,0.0,0.0,0.0
-0.001709,-0.001221,1.006836,-0.121951,-0.060976,0.182927,0.0,0.0,0.0
0.000732,-0.000244,1.004639,-0.182927,0.0,-0.121951,0.0,0.0,0.0
0.002197,0.000244,1.006592,-0.182927,0.121951,0.060976,0.0,0.0,0.0
0.0,0.001221,1.00708,0.0,0.182927,-0.243902,0.0,0.0,0.0
0.000244,0.000732,1.00293,-0.121951,0.0,-0.182927,0.0,0.0,0.0
-0.002197,-0.000977,1.000244,0.0,0.182927,0.0,0.0,0.0,0.0
-0.001709,-0.005615,1.003906,-0.121951,0.060976,-0.121951,0.0,0.0,0.0
0.00293,-0.00415,1.007324,-0.243902,0.0,-0.365854,0.0,0.0,0.0
-0.005615,-0.002441,1.001221,0.182927,-0.060976,0.121951,0.0,0.0,0.0
0.002441,0.000732,1.000977,-0.060976,-0.121951,0.365854,0.0,0.0,0.0
0.001953,-0.006592,1.000732,-0.121951,0.060976,0.121951,0.0,0.0,0.0
-0.001465,-0.004639,1.005371,0.0,0.0,-0.060976,0.0,0.0,0.0
0.001221,0.001709,1.001709,0.121951,0.304878,0.060976,0.0,0.0,0.0
-0.000732,-0.000488,1.00293,-0.182927,0.0,0.0,0.0,0.0,0.0
-0.001465,0.000244,1.003662,0.0,-0.243902,0.182927,0.0,0.0,0.0
-0.00415,-0.001465,1.001709,-0.060976,-0.121951,0.182927,0.0,0.0,0.0
-0.002197,0.003174,1.01001,-0.121951,0.0,-0.121951,0.0,0.0,0.0
-0.001953,-0.006348,0.999512,-0.182927,0.0,0.487805,0.0,0.0,0.0
0.003662,0.002686,1.008301,-0.243902,-0.060976,-0.060976,0.0,0.0,0.0
-0.00415,-0.004639,1.001953,-0.060976,-0.060976,0.121951,0.0,0.0,0.0
-0.001465,0.000488,1.001709,0.0,0.182927,0.121951,0.0,0.0,0.0
-0.000977,-0.000977,0.997559,0.121951,-0.121951,0.121951,0.0,0.0,0.0
-0.00293,-0.002686,1.008057,-0.182927,0.0,0.060976,0.0,0.0,0.0
-0.002686,0.001953,1.004883,-0.182927,0.243902,-0.243902,0.0,0.0,0.0
0.00415,0.003906,1.006592,-0.060976,-0.060976,-0.060976,0.0,0.0,0.0
-0.003174,0.002686,1.002686,-0.121951,-0.060976,0.121951,0.0,0.0,0.0
0.005127,0.002441,1.003174,0.0,0.121951,0.0,0.0,0.0,0.0
-0.002686,0.001709,1.007812,0.243902,-0.060976,0.060976,0.0,0.0,0.0
0.001709,-0.004395,1.001221,-0.365854,-0.060976,0.243902,0.0,0.0,0.0
-0.006348,0.003662,1.000488,0.060976,-0.121951,0.0,0.0,0.0,0.0
0.000977,-0.000244,1.001709,-0.182927,-0.121951,-0.060976,0.0,0.0,0.0
0.001465,-0.00293,0.998535,-0.182927,0.0,0.0,0.0,0.0,0.0
-0.007812,0.003418,1.00293,0.0,0.0,-0.121951,0.0,0.0,0.0
-0.001709,0.001465,1.004639,0.0,0.304878,0.0,0.0,0.0,0.0
0.000488,-0.004639,1.005615,-0.182927,-0.121951,0.182927,0.0,0.0,0.0
-0.001709,-0.006348,1.003174,0.121951,0.0,0.0,0.0,0.0,0.0
0.001465,-0.003174,1.001953,0.060976,-0.121951,0.0,0.0,0.0,0.0
-0.001221,-0.002441,1.002441,0.121951,0.060976,-0.182927,0.0,0.0,0.0
-0.006836,0.001709,1.000244,-0.121951,0.121951,0.0,0.0,0.0,0.0
0.00415,-0.002441,1.004639,-0.060976,0.121951,0.121951,0.0,0.0,0.0
0.000732,0.00293,1.004395,0.121951,-0.121951,0.060976,0.0,0.0,0.0
0.002441,0.003418,1.001465,-0.121951,0.243902,-0.060976,0.0,0.0,0.0
-0.001221,-0.000488,0.996826,0.0,0.0,0.060976,0.0,0.0,0.0
-0.001709,-0.003174,0.998291,-0.060976,-0.060976,0.0,0.0,0.0,0.0
-0.003906,-0.001465,1.003906,-0.060976,0.243902,-0.060976,0.0,0.0,0.0
-0.001709,0.00415,1.006104,0.182927,0.060976,0.0,0.0,0.0,0.0
-0.001221,-0.000977,1.002686,-0.243902,0.182927,-0.182927,0.0,0.0,0.0
0.003174,0.005859,1.00293,-0.243902,0.121951,0.0,0.0,0.0,0.0
-0.003174,0.002686,1.006348,0.121951,0.060976,-0.304878,0.0,0.0,0.0
-0.000244,0.002197,1.003418,-0.060976,0.182927,0.121951,0.0,0.0,0.0
-0.00415,-0.000488,1.003906,-0.060976,0.121951,0.0,0.0,0.0,0.0
0.006836,-0.003418,1.006348,0.243902,0.182927,0.182927,0.0,0.0,0.0
0.006348,0.000732,1.005371,0.121951,0.0,0.182927,0.0,0.0,0.0
0.001709,-0.001221,1.00415,0.0,0.0,0.121951,0.0,0.0,0.0
-0.005127,-0.003662,1.000977,0.0,0.121951,0.182927,0.0,0.0,0.0
0.000977,-0.001953,1.005371,0.0,0.060976,-0.182927,0.0,0.0,0.0
