-0.002441,-0.001465,1.005859,-0.304878,0.0,-0.792683,0.0,0.0,0.0
0.003662,-0.003174,1.006836,-0.243902,0.0,-0.365854,0.0,0.0,0.0
0.001709,-0.011719,0.98584,-0.060976,-0.182927,-0.609756,0.0,0.0,0.0
0.007324,0.002686,0.996094,-0.060976,0.0,-0.792683,0.0,0.0,0.0
0.010254,-0.004395,0.998535,0.243902,0.060976,-1.341463,0.0,0.0,0.0
0.010986,-0.005859,1.0,-0.548781,0.060976,-1.402439,0.0,0.0,0.0
0.001221,-0.012451,0.987793,0.487805,0.0,-2.5,0.0,0.0,0.0
0.006592,0.008057,1.005371,-0.060976,-0.060976,-2.073171,0.0,0.0,0.0
0.027588,-0.012939,0.998779,-0.487805,0.060976,-2.682927,0.0,0.0,0.0
0.04541,-0.02124,1.00708,-0.365854,0.182927,-2.5,0.0,0.0,0.0
0.075928,-0.015869,0.998779,-0.365854,-0.060976,-1.341463,0.0,0.0,0.0
0.275635,-0.009277,0.993652,-0.365854,-0.060976,-2.621951,0.0,0.0,0.0
0.090332,-0.02124,0.997803,-1.097561,0.0,-6.158537,0.0,0.0,0.0
0.122803,-0.045166,1.016357,-0.121951,-0.426829,-6.463415,0.0,0.0,0.0
0.148926,-0.098633,1.015625,-0.365854,-0.121951,-4.695122,0.0,0.0,0.0
0.218262,-0.082031,0.99707,-1.95122,-0.182927,-1.280488,0.0,0.0,0.0
0.262451,-0.101074,0.991943,-10.060976,-0.609756,0.182927,0.0,0.0,0.0
0.280762,-0.082275,1.020264,-6.097561,-0.609756,3.292683,0.0,0.0,0.0
0.294678,-0.040527,1.004883,-0.182927,0.0,6.219512,0.0,0.0,0.0
0.289551,-0.04126,0.991943,0.609756,0.304878,6.402439,0.0,0.0,0.0
0.310791,-0.049561,1.021973,0.060976,0.243902,7.804878,0.0,0.0,0.0
0.328857,-0.028809,0.99292,1.52439,0.853659,7.378049,0.0,0.0,0.0
0.299316,-0.0271,1.009766,1.402439,0.609756,5.914634,0.0,0.0,0.0
0.293701,-0.063721,0.984375,1.036585,0.609756,5.97561,0.0,0.0,0.0
0.270508,-0.062988,1.008545,0.792683,0.731707,3.170732,0.0,0.0,0.0
0.280762,-0.086182,0.984863,-0.487805,0.548781,2.378049,0.0,0.0,0.0
0.282959,-0.090088,1.020508,-1.463415,0.121951,2.317073,0.0,0.0,0.0
0.288086,-0.097656,0.997803,1.036585,0.304878,4.695122,0.0,0.0,0.0
