0.046387,0.049805,1.013916,0.000000,0.426829,3.658537,0.000000.1,0.000000.2,0.000000.3
-0.072754,0.017334,1.005859,-1.097561,-0.731707,-7.195122,0.0,0.0,0.0
-0.052002,0.036621,0.995117,1.707317,-0.487805,-7.378049,0.0,0.0,0.0
-0.043945,0.002441,1.016113,0.609756,-0.914634,-7.317073,0.0,0.0,0.0
-0.042725,0.062744,0.99707,0.365854,-0.487805,-7.195122,0.0,0.0,0.0
-0.05249,0.037354,0.998047,0.243902,-0.731707,-8.414635,0.0,0.0,0.0
-0.022705,0.077637,0.991455,3.414634,-0.487805,-10.182927,0.0,0.0,0.0
-0.107666,0.053955,1.001221,-0.121951,-0.914634,-10.487805,0.0,0.0,0.0
-0.056396,0.046875,0.998779,-0.670732,-0.548781,-11.097561,0.0,0.0,0.0
-0.068115,0.022461,0.986084,0.0,-0.609756,-11.219512,0.0,0.0,0.0
-0.041504,-0.011963,1.003906,-2.804878,-0.731707,-9.939025,0.0,0.0,0.0
-0.154297,-0.009766,0.996582,-2.804878,-1.036585,-8.47561,0.0,0.0,0.0
-0.076904,-0.028564,0.983154,-0.182927,-0.243902,-4.756098,0.0,0.0,0.0
-0.091309,0.025146,1.007324,-2.134146,-0.487805,-3.597561,0.0,0.0,0.0
-0.151123,0.054688,1.00293,3.170732,-0.426829,-4.329268,0.0,0.0,0.0
-0.132324,0.034912,0.987549,7.195122,0.243902,-3.170732,0.0,0.0,0.0
-0.097168,-0.021973,1.010742,1.463415,0.121951,0.182927,0.0,0.0,0.0
-0.111572,0.0271,0.989502,0.0,0.182927,2.621951,0.0,0.0,0.0
-0.095703,0.068359,1.0,0.243902,0.182927,0.97561,0.0,0.0,0.0
-0.11377,0.068848,1.006348,0.853659,0.060976,-1.585366,0.0,0.0,0.0
-0.138428,0.059326,1.000488,1.646341,-0.365854,-3.109756,0.0,0.0,0.0
-0.122559,0.026123,1.004639,0.304878,-0.121951,-4.207317,0.0,0.0,0.0
-0.090088,0.013184,0.995361,-0.426829,-0.121951,-3.231707,0.0,0.0,0.0
-0.073975,0.046631,1.001221,-0.853659,-0.182927,-3.841464,0.0,0.0,0.0
-0.120117,0.011475,0.992432,-2.926829,-0.365854,-4.390244,0.0,0.0,0.0
-0.133789,-0.000488,1.010254,-0.792683,-0.243902,-3.597561,0.0,0.0,0.0
-0.11084,-0.003174,0.990723,-1.097561,-0.243902,-3.04878,0.0,0.0,0.0
-0.091553,0.020996,1.001465,0.121951,-0.243902,-2.317073,0.0,0.0,0.0
-0.093018,0.035156,1.007324,0.426829,-0.487805,-2.134146,0.0,0.0,0.0
-0.071777,0.02832,1.003174,0.121951,0.121951,-1.890244,0.0,0.0,0.0
-0.084717,0.023926,0.997559,-1.097561,-0.487805,-1.585366,0.0,0.0,0.0
-0.088379,0.034424,0.997803,-0.243902,-0.182927,-1.768293,0.0,0.0,0.0
-0.082275,0.018066,0.996582,-0.121951,-0.243902,-1.95122,0.0,0.0,0.0
-0.056152,0.030029,1.008545,-0.792683,-0.243902,-1.95122,0.0,0.0,0.0
-0.078613,0.030518,1.005371,0.121951,0.0,-2.256098,0.0,0.0,0.0
-0.072998,0.016113,0.999512,0.731707,0.182927,-2.195122,0.0,0.0,0.0
-0.026367,0.012939,1.000977,0.182927,0.0,-2.195122,0.0,0.0,0.0
-0.055176,0.01709,1.00415,-0.487805,-0.304878,-2.317073,0.0,0.0,0.0
-0.05127,0.012939,1.004639,-0.060976,-0.060976,-1.036585,0.0,0.0,0.0
-0.028564,0.023193,0.994629,0.0,-0.121951,-1.463415,0.0,0.0,0.0
-0.028076,0.018555,1.00415,0.060976,-0.121951,-1.219512,0.0,0.0,0.0
-0.034424,0.027832,0.998535,0.182927,-0.304878,-1.158537,0.0,0.0,0.0
-0.048584,0.044678,1.006592,0.365854,-0.426829,-1.280488,0.0,0.0,0.0
-0.047363,0.029297,0.997314,-0.182927,-0.060976,-1.829268,0.0,0.0,0.0
-0.055176,0.026123,1.003662,-0.182927,0.0,-1.829268,0.0,0.0,0.0
-0.02002,0.020508,1.003418,-0.670732,0.0,-1.829268,0.0,0.0,0.0
-0.046875,0.023926,1.003906,-0.304878,-0.121951,-2.317073,0.0,0.0,0.0
-0.03418,0.03418,0.994385,0.426829,-0.182927,-2.439024,0.0,0.0,0.0
-0.052979,0.029541,1.006104,0.060976,-0.182927,-3.170732,0.0,0.0,0.0
-0.074463,0.038818,1.005127,0.121951,-0.121951,-3.780488,0.0,0.0,0.0
-0.07666,0.02417,1.002441,-0.426829,-0.121951,-2.865854,0.0,0.0,0.0
-0.029053,0.009033,0.999512,-0.426829,-0.121951,-0.97561,0.0,0.0,0.0
-0.003906,0.022217,0.998047,-0.670732,-0.182927,-0.731707,0.0,0.0,0.0
-0.003174,0.022217,1.006836,-1.52439,-0.121951,-1.097561,0.0,0.0,0.0
-0.002441,0.016602,1.000488,-0.731707,0.060976,-1.036585,0.0,0.0,0.0
-0.003906,0.020996,0.99707,-0.060976,-0.487805,-1.097561,0.0,0.0,0.0
0.000732,0.019775,1.001465,-0.182927,-0.243902,-1.036585,0.0,0.0,0.0
0.005859,0.015625,0.998535,0.121951,-0.243902,-0.487805,0.0,0.0,0.0
-0.002197,0.013184,1.0,-0.182927,-0.182927,-0.243902,0.0,0.0,0.0
-0.001709,0.01709,1.006836,-0.365854,0.0,-0.243902,0.0,0.0,0.0
-0.004883,0.014404,1.002441,-0.487805,0.0,-0.060976,0.0,0.0,0.0
-0.004395,0.020996,0.999512,0.243902,-0.121951,-0.060976,0.0,0.0,0.0
0.002197,0.017822,0.997559,-0.060976,0.0,0.060976,0.0,0.0,0.0
-0.006348,0.02124,1.002686,0.121951,-0.121951,-0.060976,0.0,0.0,0.0
-0.001709,0.013916,0.999756,0.0,-0.243902,-0.060976,0.0,0.0,0.0
-0.006592,0.01416,1.00293,0.0,0.060976,-0.182927,0.0,0.0,0.0
0.005371,0.01709,1.002686,-0.487805,0.0,-0.121951,0.0,0.0,0.0
-0.003906,0.022461,0.998779,0.060976,-0.243902,0.060976,0.0,0.0,0.0
-0.00708,0.020752,1.001465,-0.121951,0.0,0.182927,0.0,0.0,0.0
-0.001221,0.016846,0.999268,0.182927,0.0,-0.243902,0.0,0.0,0.0
-0.001709,0.020752,1.004395,0.060976,0.060976,0.0,0.0,0.0,0.0
-0.004395,0.018066,1.003662,-0.060976,0.121951,-0.304878,0.0,0.0,0.0
-0.002441,0.021729,1.004395,-0.426829,0.121951,-0.121951,0.0,0.0,0.0
-0.005127,0.018311,1.00293,-0.365854,-0.060976,-0.121951,0.0,0.0,0.0
-0.001465,0.016602,1.000977,-0.182927,0.0,-0.243902,0.0,0.0,0.0
-0.00708,0.021729,1.000488,-0.365854,0.182927,-0.060976,0.0,0.0,0.0
0.001953,0.019287,1.001709,-0.060976,0.182927,-0.182927,0.0,0.0,0.0
0.000732,0.014648,1.003174,-0.365854,-0.121951,-0.182927,0.0,0.0,0.0
0.000977,0.014648,0.999023,-0.121951,0.060976,0.060976,0.0,0.0,0.0
-0.001465,0.018066,0.996338,-0.243902,-0.304878,0.121951,0.0,0.0,0.0
-0.005615,0.016113,1.001465,-0.121951,0.365854,-0.121951,0.0,0.0,0.0
0.002441,0.014648,1.006836,-0.060976,0.060976,0.121951,0.0,0.0,0.0
-0.003662,0.015625,1.003906,-0.304878,0.0,-0.243902,0.0,0.0,0.0
0.00415,0.01709,1.002197,-0.243902,0.182927,-0.060976,0.0,0.0,0.0
-0.005615,0.018799,0.999512,0.182927,0.060976,0.0,0.0,0.0,0.0
-0.000244,0.018311,1.001221,0.0,0.182927,0.182927,0.0,0.0,0.0
-0.000732,0.018066,1.00293,-0.243902,0.060976,-0.060976,0.0,0.0,0.0
-0.001221,0.020752,1.00415,-0.243902,-0.182927,0.304878,0.0,0.0,0.0
-0.002686,0.015137,1.00293,-0.182927,0.243902,0.243902,0.0,0.0,0.0
-0.002197,0.013916,1.003906,0.121951,0.182927,0.182927,0.0,0.0,0.0
-0.003906,0.018311,0.999756,0.060976,-0.182927,0.304878,0.0,0.0,0.0
-0.006592,0.019775,0.997314,-0.243902,0.182927,0.304878,0.0,0.0,0.0
-0.00415,0.02124,0.997314,-0.060976,-0.121951,0.121951,0.0,0.0,0.0
-0.003662,0.022217,1.002686,-0.304878,0.060976,0.060976,0.0,0.0,0.0
-0.009521,0.024414,1.000244,0.060976,0.182927,-0.121951,0.0,0.0,0.0
-0.009766,0.023193,1.000488,-0.365854,-0.182927,-0.060976,0.0,0.0,0.0
-0.008301,0.017822,0.997314,0.182927,-0.182927,-0.182927,0.0,0.0,0.0
-0.008789,0.030762,1.00708,-0.182927,-0.426829,-0.243902,0.0,0.0,0.0
-0.01001,0.020996,1.003418,0.060976,-0.182927,-0.792683,0.0,0.0,0.0
-0.001953,0.012939,1.003906,0.060976,-0.060976,-0.792683,0.0,0.0,0.0
-0.007324,0.023926,1.001465,-0.060976,-0.121951,-0.97561,0.0,0.0,0.0
-0.006348,0.026611,1.004395,0.121951,-0.304878,-1.158537,0.0,0.0,0.0
-0.004639,0.024414,0.995361,0.121951,0.060976,-1.768293,0.0,0.0,0.0
-0.011475,0.030762,0.997559,-0.121951,0.304878,-2.195122,0.0,0.0,0.0
-0.003906,0.028564,0.999268,-0.182927,0.0,-2.5,0.0,0.0,0.0
-0.002197,0.032227,1.005371,-0.365854,-0.243902,-3.231707,0.0,0.0,0.0
-0.01123,0.044922,1.000732,0.304878,-0.243902,-3.963415,0.0,0.0,0.0
