0.003906,0.011719,1.009033,-0.182927,0.000000,0.121951,0.000000.1,0.000000.2,0.000000.3
-0.053955,0.038086,1.015137,-1.219512,-0.182927,-8.170732,0.0,0.0,0.0
-0.124512,0.018555,1.019531,0.670732,-0.243902,-8.231708,0.0,0.0,0.0
-0.152588,0.027832,0.999268,2.317073,-0.182927,-7.865854,0.0,0.0,0.0
-0.13501,0.048584,1.008301,1.829268,-0.121951,-5.426829,0.0,0.0,0.0
-0.14624,0.052734,1.008789,0.914634,-0.487805,-6.219512,0.0,0.0,0.0
-0.165527,0.05127,0.97998,2.926829,-0.304878,-9.45122,0.0,0.0,0.0
-0.16748,0.030762,0.983643,1.768293,-0.121951,-7.743903,0.0,0.0,0.0
-0.161133,0.054932,0.977051,3.109756,0.243902,-7.743903,0.0,0.0,0.0
-0.129395,0.098633,0.993652,-0.121951,-0.670732,-9.695122,0.0,0.0,0.0
-0.184082,0.055664,1.006836,-0.121951,-1.036585,-12.743903,0.0,0.0,0.0
-0.134766,0.00708,0.994629,-0.792683,-1.097561,-12.317074,0.0,0.0,0.0
-0.166016,0.034912,0.99707,-0.853659,-0.731707,-12.195122,0.0,0.0,0.0
-0.156738,-0.045654,0.997314,-4.268293,-0.609756,-11.890244,0.0,0.0,0.0
-0.087158,-0.048828,0.998291,-5.426829,-0.97561,-9.878049,0.0,0.0,0.0
-0.168457,-0.035156,0.991211,-8.231708,-0.670732,-7.378049,0.0,0.0,0.0
-0.131592,0.006836,1.01416,-9.695122,-0.426829,-7.073171,0.0,0.0,0.0
-0.157471,0.016602,1.005615,2.865854,-0.304878,-5.914634,0.0,0.0,0.0
-0.123779,-0.013184,1.009766,6.585366,-0.060976,-5.304878,0.0,0.0,0.0
-0.135254,0.064209,1.014893,13.536586,0.060976,-4.085366,0.0,0.0,0.0
-0.129639,0.016602,1.010254,-0.121951,-0.426829,-6.585366,0.0,0.0,0.0
-0.129883,0.00708,1.009033,-0.487805,-0.426829,-5.609756,0.0,0.0,0.0
-0.116455,0.040283,1.005127,0.121951,-0.426829,-4.939024,0.0,0.0,0.0
-0.101562,0.019287,0.995361,-0.243902,-0.121951,-5.121951,0.0,0.0,0.0
-0.089844,0.022461,1.013428,-1.585366,-0.182927,-4.329268,0.0,0.0,0.0
-0.093262,0.028809,1.008301,-0.365854,-0.121951,-3.963415,0.0,0.0,0.0
