0.103760,-0.001953,1.014160,-0.426829,-0.426829.1,-1.280488,0.000000,0.000000.1,0.000000.2
-0.001953,-0.002197,1.001709,0.060976,0.060976,0.060976,0.0,0.0,0.0
0.002441,-0.006836,1.00293,0.0,0.060976,-0.243902,0.0,0.0,0.0
-0.002197,-0.00293,1.00415,0.0,-0.060976,-0.121951,0.0,0.0,0.0
-0.002686,-0.003662,0.999268,0.060976,0.0,-0.365854,0.0,0.0,0.0
-0.000732,0.000244,1.00415,0.182927,0.060976,0.182927,0.0,0.0,0.0
0.000244,-0.00293,1.003906,-0.060976,0.121951,0.0,0.0,0.0,0.0
0.000977,-0.001465,0.999268,0.182927,0.182927,0.0,0.0,0.0,0.0
-0.006592,0.001465,1.00415,-0.121951,0.121951,0.060976,0.0,0.0,0.0
-0.003906,-0.005371,0.999512,-0.060976,0.121951,0.060976,0.0,0.0,0.0
-0.003174,0.000732,1.002197,0.121951,-0.243902,0.060976,0.0,0.0,0.0
0.001953,0.004395,1.00293,0.060976,0.182927,-0.060976,0.0,0.0,0.0
0.000244,0.00415,1.00415,0.182927,-0.304878,0.0,0.0,0.0,0.0
0.002197,-0.001465,0.998291,0.182927,0.060976,0.121951,0.0,0.0,0.0
-0.002441,0.003174,0.997803,0.182927,0.060976,-0.182927,0.0,0.0,0.0
-0.000244,-0.003174,1.0,0.0,0.060976,-0.060976,0.0,0.0,0.0
0.000244,-0.005371,1.0,0.060976,0.0,-0.060976,0.0,0.0,0.0
-0.001709,0.00293,1.0,0.060976,0.182927,-0.365854,0.0,0.0,0.0
0.0,0.001709,1.004883,0.243902,0.121951,-0.182927,0.0,0.0,0.0
0.000488,0.000732,1.002441,0.365854,0.304878,-0.060976,0.0,0.0,0.0
0.006104,-0.005615,0.999512,0.487805,0.304878,0.121951,0.0,0.0,0.0
0.002197,-0.013916,1.003662,0.121951,-0.182927,0.243902,0.0,0.0,0.0
0.00293,-0.007568,1.0,0.0,-0.243902,1.158537,0.0,0.0,0.0
0.007568,-0.001465,1.006592,0.060976,0.0,2.012195,0.0,0.0,0.0
0.002686,0.011719,1.006592,0.182927,0.060976,3.04878,0.0,0.0,0.0
0.008301,-0.019775,1.006836,-0.182927,0.0,3.47561,0.0,0.0,0.0
0.01001,-0.009521,1.006348,-0.182927,-0.060976,4.573171,0.0,0.0,0.0
0.006348,-0.003418,1.006592,0.243902,-0.060976,4.329268,0.0,0.0,0.0
0.030273,-0.015381,1.00708,0.0,0.121951,5.609756,0.0,0.0,0.0
0.016602,-0.006348,1.010986,0.121951,0.304878,5.487805,0.0,0.0,0.0
0.030518,-0.012207,1.020996,0.121951,0.121951,5.365854,0.0,0.0,0.0
0.04541,0.003906,1.005371,0.548781,0.182927,5.670732,0.0,0.0,0.0
0.049072,-0.000732,1.009033,-0.304878,0.182927,5.365854,0.0,0.0,0.0
0.183838,0.007324,0.989502,-0.243902,0.182927,3.902439,0.0,0.0,0.0
0.003174,-0.012207,1.013428,-0.670732,-0.365854,2.256098,0.0,0.0,0.0
0.061035,-0.015137,0.996094,0.365854,-0.121951,1.646341,0.0,0.0,0.0
0.064941,0.007568,1.003174,0.121951,0.243902,1.707317,0.0,0.0,0.0
0.07959,0.010498,0.996094,0.670732,0.365854,0.731707,0.0,0.0,0.0
0.091064,0.003662,0.973145,0.304878,0.304878,0.609756,0.0,0.0,0.0
0.074951,-0.023438,0.99707,0.853659,0.304878,0.182927,0.0,0.0,0.0
0.07373,-0.043213,1.002441,0.853659,0.304878,0.853659,0.0,0.0,0.0
0.093262,-0.052979,0.998779,0.731707,0.670732,1.768293,0.0,0.0,0.0
0.097412,-0.036865,1.01123,-1.097561,0.243902,2.804878,0.0,0.0,0.0
0.128418,-0.025879,0.986572,0.548781,0.731707,3.292683,0.0,0.0,0.0
0.133301,-0.012207,0.999512,0.914634,0.243902,3.658537,0.0,0.0,0.0
0.147461,-0.041016,1.002197,0.426829,0.365854,3.780488,0.0,0.0,0.0
0.109375,-0.029297,1.016113,-0.060976,0.304878,2.804878,0.0,0.0,0.0
0.098877,-0.015381,1.02832,4.329268,-0.426829,2.439024,0.0,0.0,0.0
0.152832,-0.043945,1.008057,0.0,0.426829,1.646341,0.0,0.0,0.0
0.150635,-0.037598,0.994629,0.182927,0.365854,1.219512,0.0,0.0,0.0
0.172607,-0.059326,0.978516,0.853659,0.609756,2.317073,0.0,0.0,0.0
0.122803,-0.040527,1.006348,0.97561,0.365854,4.45122,0.0,0.0,0.0
0.169678,-0.018311,0.985107,1.341463,0.365854,5.0,0.0,0.0,0.0
0.12207,-0.030762,0.983154,1.341463,0.365854,5.853659,0.0,0.0,0.0
0.128662,0.024658,0.998779,1.646341,0.609756,7.012195,0.0,0.0,0.0
0.13501,0.010254,1.003418,0.365854,0.548781,6.097561,0.0,0.0,0.0
0.105713,0.033936,0.994873,0.365854,0.731707,5.243903,0.0,0.0,0.0
0.11792,0.03833,0.990234,2.012195,0.609756,1.829268,0.0,0.0,0.0
0.115967,-0.035156,0.976074,0.182927,0.121951,-0.365854,0.0,0.0,0.0
0.125488,-0.029297,1.009766,-0.182927,0.365854,-0.487805,0.0,0.0,0.0
0.135498,-0.061768,1.007324,-1.463415,0.487805,0.365854,0.0,0.0,0.0
0.093262,-0.108398,0.980713,-3.658537,-0.304878,2.5,0.0,0.0,0.0
0.079834,-0.079834,1.000977,-6.219512,-0.121951,4.512195,0.0,0.0,0.0
0.092285,-0.065918,1.012939,-1.95122,0.182927,6.402439,0.0,0.0,0.0
0.0896,-0.004395,0.980957,0.914634,1.036585,7.073171,0.0,0.0,0.0
0.111084,-0.026855,1.003174,4.45122,0.609756,7.012195,0.0,0.0,0.0
0.10376,-0.012207,1.007812,9.207317,0.792683,8.902439,0.0,0.0,0.0
0.101807,0.09082,0.972412,13.109756,1.463415,7.073171,0.0,0.0,0.0
0.109375,0.04541,0.994629,0.121951,-0.426829,2.317073,0.0,0.0,0.0
0.084961,0.04248,1.023926,-0.670732,0.0,1.585366,0.0,0.0,0.0
0.087646,0.035156,1.01001,-1.707317,0.182927,0.487805,0.0,0.0,0.0
0.094971,0.055176,0.983887,0.853659,-0.426829,-0.853659,0.0,0.0,0.0
