-0.029053,0.031738,0.999268,-0.548781,-0.243902,-1.768293,0.0,0.0,0.0
-0.016113,0.05249,1.004395,-0.792683,-0.426829,-4.268293,0.0,0.0,0.0
-0.078613,0.06665,1.006836,0.060976,-0.243902,-6.890244,0.0,0.0,0.0
-0.240479,0.124268,1.009521,0.060976,-0.182927,-10.670732,0.0,0.0,0.0
-0.192383,0.071045,1.001465,3.719512,-0.548781,-19.939024,0.0,0.0,0.0
-0.176758,0.03418,0.98291,1.768293,-0.365854,-20.792683,0.0,0.0,0.0
-0.21875,0.027344,0.996826,-5.97561,-0.426829,-19.268293,0.0,0.0,0.0
-0.301514,0.02124,1.014648,-4.085366,-0.548781,-16.097561,0.0,0.0,0.0
-0.321289,-0.005127,0.999756,-2.073171,-0.365854,-11.829268,0.0,0.0,0.0
-0.29834,-0.015625,1.003418,-6.463415,-0.731707,-5.243903,0.0,0.0,0.0
-0.314941,-0.049316,1.002197,-11.95122,-0.853659,-0.97561,0.0,0.0,0.0
-0.319336,-0.05957,1.012939,-1.341463,0.365854,6.158537,0.0,0.0,0.0
-0.335938,-0.052734,0.994873,1.219512,-0.060976,11.890244,0.0,0.0,0.0
-0.329346,-0.046631,1.000732,2.256098,0.609756,15.853659,0.0,0.0,0.0
-0.335693,-0.022461,1.013916,2.073171,0.243902,20.304878,0.0,0.0,0.0
-0.368896,-0.04126,1.008545,3.04878,0.670732,24.695122,0.0,0.0,0.0
-0.293945,0.009766,1.012939,4.329268,1.280488,29.45122,0.0,0.0,0.0
-0.334229,0.034424,1.005859,8.780488,1.646341,30.54878,0.0,0.0,0.0
-0.32959,0.029297,1.003174,0.365854,1.280488,29.817074,0.0,0.0,0.0
-0.238037,0.039307,1.000488,2.560976,1.280488,31.707317,0.0,0.0,0.0
-0.205078,0.118164,0.993164,-2.743902,0.731707,31.524391,0.0,0.0,0.0
-0.233154,0.11499,1.003174,0.487805,0.304878,25.243902,0.0,0.0,0.0
-0.135254,0.0896,0.994385,4.695122,1.219512,20.975611,0.0,0.0,0.0
-0.116455,0.030518,1.000977,1.219512,0.487805,17.743902,0.0,0.0,0.0
-0.181641,0.012451,0.989502,-8.841464,0.0,16.524391,0.0,0.0,0.0
-0.102783,-0.041504,0.995117,0.609756,0.426829,16.097561,0.0,0.0,0.0
-0.125488,-0.014893,0.97876,-5.792683,-0.853659,12.743903,0.0,0.0,0.0
-0.086182,-0.053711,1.03418,-13.902439,-1.219512,10.670732,0.0,0.0,0.0
-0.005615,-0.050781,1.013184,-3.04878,0.426829,14.268293,0.0,0.0,0.0
0.007568,-0.033203,1.010498,1.097561,0.670732,16.097561,0.0,0.0,0.0
0.02832,-0.009521,1.004883,0.304878,0.792683,15.853659,0.0,0.0,0.0
0.024414,0.007568,1.030029,6.829268,0.853659,14.756098,0.0,0.0,0.0
0.026855,0.059082,0.981934,22.92683,2.5,14.939025,0.0,0.0,0.0
0.135986,-0.022949,1.018799,-3.04878,0.853659,10.060976,0.0,0.0,0.0
0.161377,0.005859,0.994873,-0.243902,0.243902,10.426829,0.0,0.0,0.0
0.128906,0.010742,1.016602,-0.548781,1.341463,8.109756,0.0,0.0,0.0
0.196289,-0.007812,0.98999,-1.95122,-0.365854,7.621952,0.0,0.0,0.0
0.173096,0.039795,1.031982,-9.146341,-0.914634,4.878049,0.0,0.0,0.0
0.123291,-0.025391,1.00293,-1.158537,-0.060976,2.256098,0.0,0.0,0.0
0.172363,-0.037598,1.00708,-1.036585,-0.548781,1.463415,0.0,0.0,0.0
0.209717,-0.048096,1.030029,0.060976,0.304878,-0.731707,0.0,0.0,0.0
0.205322,-0.057373,0.997314,-2.378049,0.121951,-1.280488,0.0,0.0,0.0
0.190186,-0.062256,0.996582,1.463415,0.365854,-2.378049,0.0,0.0,0.0
0.216553,-0.08374,1.001221,-2.195122,-0.365854,-1.341463,0.0,0.0,0.0
0.269043,-0.0354,1.000977,-3.353659,-0.060976,-0.731707,0.0,0.0,0.0
0.198975,-0.046631,1.005615,-5.54878,-0.792683,-0.060976,0.0,0.0,0.0
0.243164,-0.075928,1.006348,-1.463415,-0.548781,2.317073,0.0,0.0,0.0
0.234863,-0.025879,0.982422,0.304878,-0.426829,3.841464,0.0,0.0,0.0
0.229248,-0.00293,0.999268,0.609756,-0.121951,1.646341,0.0,0.0,0.0
0.172852,-0.025635,1.008545,2.621951,-0.182927,-0.182927,0.0,0.0,0.0
0.219238,-0.037842,1.006348,5.304878,0.487805,0.670732,0.0,0.0,0.0
0.151611,-0.013672,0.98999,3.414634,-0.060976,-0.487805,0.0,0.0,0.0
0.16626,-0.043213,1.007568,-0.182927,0.182927,-0.426829,0.0,0.0,0.0
0.178223,-0.052734,0.995117,-1.585366,-0.243902,-0.121951,0.0,0.0,0.0
0.173584,-0.044678,0.996826,-5.670732,-0.365854,1.036585,0.0,0.0,0.0
0.149414,-0.057373,1.009033,-4.634146,-0.365854,1.829268,0.0,0.0,0.0
0.142334,-0.05542,0.997559,-0.548781,-0.060976,3.292683,0.0,0.0,0.0
0.125244,-0.03418,1.00293,-0.426829,-0.121951,4.817073,0.0,0.0,0.0
0.119385,-0.039795,0.998535,-0.365854,0.060976,5.304878,0.0,0.0,0.0
0.142822,-0.036621,1.002197,0.304878,0.304878,6.036585,0.0,0.0,0.0
0.073242,-0.016357,1.001953,0.792683,0.182927,7.682927,0.0,0.0,0.0
0.111328,-0.004395,1.008545,1.402439,-0.243902,3.963415,0.0,0.0,0.0
0.126953,0.013672,1.003906,0.243902,0.182927,6.036585,0.0,0.0,0.0
0.07666,0.018799,1.009033,1.829268,0.121951,5.121951,0.0,0.0,0.0
0.08374,0.012451,1.007812,7.256098,0.426829,4.939024,0.0,0.0,0.0
0.073975,0.005127,0.990234,2.926829,0.487805,3.719512,0.0,0.0,0.0
0.072021,0.001465,1.003906,0.182927,-0.243902,2.378049,0.0,0.0,0.0
0.055664,-0.003174,1.005127,-0.060976,-0.243902,2.682927,0.0,0.0,0.0
0.050049,0.002686,0.99707,-0.060976,0.0,3.353659,0.0,0.0,0.0
0.014404,0.022705,1.010986,-0.060976,0.121951,3.231707,0.0,0.0,0.0
-0.001953,-0.005371,0.998535,-0.060976,0.182927,3.231707,0.0,0.0,0.0
0.001953,-0.013428,0.999756,0.243902,0.060976,3.780488,0.0,0.0,0.0
-0.01001,-0.001465,1.002197,0.609756,0.121951,4.146341,0.0,0.0,0.0
