0.00415,0.006104,1.001953,-0.060976,0.182927,0.121951,0.0,0.0,0.0
-0.004639,-0.002441,1.000488,0.182927,0.121951,0.060976,0.0,0.0,0.0
0.0,0.002197,1.001465,0.0,0.0,0.0,0.0,0.0,0.0
0.002441,0.001221,0.993408,0.0,-0.060976,0.0,0.0,0.0,0.0
-0.004883,0.001709,0.99707,0.121951,0.0,-0.060976,0.0,0.0,0.0
-0.005859,0.003418,1.000488,0.0,-0.060976,0.060976,0.0,0.0,0.0
0.006836,0.006592,0.99585,-0.060976,-0.060976,-0.121951,0.0,0.0,0.0
0.00293,0.001221,1.00293,0.0,0.060976,-0.121951,0.0,0.0,0.0
-0.000732,-0.001465,1.000488,0.060976,-0.121951,0.121951,0.0,0.0,0.0
0.001953,0.002197,0.999268,-0.182927,-0.060976,0.060976,0.0,0.0,0.0
0.005615,-0.001221,1.002686,0.0,-0.060976,-0.121951,0.0,0.0,0.0
0.001709,-0.001221,1.00415,0.0,0.121951,0.182927,0.0,0.0,0.0
0.000977,-0.001465,0.999023,-0.182927,-0.243902,-0.060976,0.0,0.0,0.0
-0.00293,-0.002197,0.998047,-0.182927,-0.060976,-0.182927,0.0,0.0,0.0
-0.003906,0.00708,0.999756,-0.121951,-0.060976,0.304878,0.0,0.0,0.0
-0.005127,0.000244,1.003418,0.0,-0.121951,0.243902,0.0,0.0,0.0
0.0,-0.001709,0.995605,0.060976,0.121951,0.121951,0.0,0.0,0.0
0.001221,-0.003174,0.998047,-0.121951,0.121951,-0.243902,0.0,0.0,0.0
0.000977,0.001709,1.000977,0.243902,-0.243902,0.243902,0.0,0.0,0.0
0.000488,-0.000244,1.004639,0.060976,-0.060976,0.243902,0.0,0.0,0.0
-0.008301,0.001465,1.004395,0.060976,0.0,0.121951,0.0,0.0,0.0
0.001465,0.0,0.997314,0.0,-0.060976,-0.365854,0.0,0.0,0.0
0.00293,0.002441,1.000977,-0.182927,0.0,0.0,0.0,0.0,0.0
0.000244,0.000488,0.998291,-0.182927,-0.304878,0.121951,0.0,0.0,0.0
-0.003174,-0.000732,1.001709,-0.304878,0.060976,-0.121951,0.0,0.0,0.0
0.000488,0.000977,1.001221,0.0,-0.182927,0.121951,0.0,0.0,0.0
-0.000244,0.002441,1.000488,-0.121951,-0.060976,0.0,0.0,0.0,0.0
-0.000244,0.005859,0.997559,-0.182927,0.0,-0.060976,0.0,0.0,0.0
-0.000488,0.002441,1.002686,0.243902,-0.060976,0.182927,0.0,0.0,0.0
-0.001221,-0.000977,1.0,0.243902,-0.121951,-0.060976,0.0,0.0,0.0
0.000732,0.003662,0.998535,-0.060976,-0.060976,0.182927,0.0,0.0,0.0
0.004883,0.00293,1.001221,0.060976,0.060976,-0.121951,0.0,0.0,0.0
