-0.026855,-0.107178,0.975586,-4.085366,-0.853659,0.000000,0.000000.1,0.000000.2,0.000000.3
0.047363,-0.10376,1.010742,-12.804878,-19.512196,9.146341,0.0,0.0,0.0
0.067139,-0.072266,1.036621,-6.95122,-16.95122,7.560976,0.0,0.0,0.0
0.079102,-0.061279,1.057373,-8.963415,-14.695123,4.817073,0.0,0.0,0.0
0.061768,-0.135254,1.032227,-9.329268,-14.02439,4.207317,0.0,0.0,0.0
0.04541,-0.11792,1.07251,-2.012195,-9.329268,3.902439,0.0,0.0,0.0
0.061279,-0.129883,1.032227,-3.841464,-6.585366,3.658537,0.0,0.0,0.0
0.068115,-0.118408,0.970215,-3.597561,-4.695122,3.780488,0.0,0.0,0.0
0.061279,-0.134766,0.934082,-4.695122,-5.426829,3.47561,0.0,0.0,0.0
0.065186,-0.140869,0.911865,-4.756098,-7.5,3.658537,0.0,0.0,0.0
0.05542,-0.150879,0.91748,-3.841464,-9.573171,3.780488,0.0,0.0,0.0
0.069824,-0.141846,0.940674,-2.073171,-11.219512,4.512195,0.0,0.0,0.0
0.070068,-0.134277,0.965088,-1.829268,-12.134147,4.45122,0.0,0.0,0.0
0.077393,-0.13916,0.98584,-1.890244,-12.256098,4.573171,0.0,0.0,0.0
0.086182,-0.146729,1.001465,-1.768293,-11.097561,4.329268,0.0,0.0,0.0
0.084473,-0.146973,1.000732,-3.04878,-10.121951,5.0,0.0,0.0,0.0
0.087158,-0.149902,0.978027,-4.390244,-9.207317,5.182927,0.0,0.0,0.0
0.092529,-0.15332,0.95166,-5.487805,-9.207317,5.731708,0.0,0.0,0.0
0.093506,-0.144531,0.941895,-7.012195,-10.243902,6.219512,0.0,0.0,0.0
0.096924,-0.121338,0.924805,-6.890244,-12.195122,5.670732,0.0,0.0,0.0
0.095947,-0.130371,0.919434,-6.463415,-14.390244,5.182927,0.0,0.0,0.0
0.09082,-0.142822,0.913086,-5.182927,-16.646341,4.756098,0.0,0.0,0.0
0.100098,-0.119141,0.929199,-1.890244,-18.780489,4.390244,0.0,0.0,0.0
0.10083,-0.132812,0.946289,-4.756098,-21.280489,3.47561,0.0,0.0,0.0
0.086914,-0.150635,0.966553,-6.707317,-22.92683,3.902439,0.0,0.0,0.0
0.087891,-0.124512,0.993652,-8.04878,-23.719513,4.085366,0.0,0.0,0.0
0.091553,-0.120361,1.0,-8.414635,-24.268293,4.02439,0.0,0.0,0.0
0.094971,-0.104492,1.033203,-8.47561,-25.243902,4.085366,0.0,0.0,0.0
0.09668,-0.077393,1.071289,-10.060976,-25.243902,3.109756,0.0,0.0,0.0
0.115234,-0.086182,1.104736,-6.158537,-23.658537,1.829268,0.0,0.0,0.0
0.133789,-0.050049,1.125488,-4.573171,-21.646341,-0.365854,0.0,0.0,0.0
0.148682,-0.060303,1.140625,-4.02439,-19.87805,-2.865854,0.0,0.0,0.0
0.155762,-0.034912,1.1875,-0.670732,-18.475611,-4.512195,0.0,0.0,0.0
0.165527,-0.01123,1.246094,3.902439,-14.817074,-8.292683,0.0,0.0,0.0
0.178223,0.013672,1.314697,5.304878,-10.0,-10.853659,0.0,0.0,0.0
0.159424,-0.009766,1.334473,2.926829,-2.560976,-15.243903,0.0,0.0,0.0
0.158447,-0.00293,1.326904,3.780488,1.646341,-16.646341,0.0,0.0,0.0
0.181885,0.038574,1.296143,9.085366,5.426829,-20.54878,0.0,0.0,0.0
0.202393,0.011719,1.238281,13.231708,5.670732,-24.87805,0.0,0.0,0.0
0.224854,0.041992,1.268066,23.292683,2.682927,-29.085367,0.0,0.0,0.0
0.26416,0.050537,1.386475,32.378048,0.182927,-33.780487,0.0,0.0,0.0
0.28125,0.040283,1.501953,40.975609,0.243902,-38.536587,0.0,0.0,0.0
0.29834,0.066895,1.678711,46.951221,6.646342,-44.390244,0.0,0.0,0.0
