2.000000,2.000000.1,1.194336,3970.853760,3924.573242,3872.865967,0.000000,0.000000.1,0.000000.2
2.0,2.0,4.812744,3995.975586,3982.561035,3835.975586,0.0,0.0,0.0
2.0,2.0,4.752197,3986.036621,3986.097656,3835.914795,0.0,0.0,0.0
2.0,2.0,4.678711,3977.987793,3989.085449,3837.743896,0.0,0.0,0.0
2.0,2.0,4.584717,3971.951416,3989.268311,3840.609863,0.0,0.0,0.0
2.0,2.0,4.47998,3967.743896,3985.731689,3843.841553,0.0,0.0,0.0
2.0,2.0,4.401611,3965.304932,3977.439209,3846.646484,0.0,0.0,0.0
2.0,2.0,4.376221,3967.683105,3965.731689,3851.158691,0.0,0.0,0.0
2.0,2.0,4.346191,3971.585449,3954.329346,3856.524414,0.0,0.0,0.0
2.0,2.0,4.411621,3975.183105,3942.012207,3860.12207,0.0,0.0,0.0
2.0,2.0,4.540283,3977.683105,3932.987793,3861.890381,0.0,0.0,0.0
2.0,2.0,4.661621,3975.304932,3930.548828,3860.304932,0.0,0.0,0.0
2.0,2.0,4.735352,3970.792725,3933.35376,3857.62207,0.0,0.0,0.0
2.0,2.0,4.744629,3965.85376,3938.719482,3854.817139,0.0,0.0,0.0
2.0,2.0,4.718018,3960.061035,3943.780518,3853.109863,0.0,0.0,0.0
2.0,2.0,4.657471,3957.62207,3946.585449,3853.658691,0.0,0.0,0.0
2.0,2.0,4.596924,3956.463623,3947.134277,3854.634277,0.0,0.0,0.0
2.0,2.0,4.517334,3958.414795,3943.780518,3856.829346,0.0,0.0,0.0
2.0,2.0,4.486328,3962.5,3937.5,3859.20752,0.0,0.0,0.0
2.0,2.0,4.47876,3965.85376,3931.524414,3862.439209,0.0,0.0,0.0
2.0,2.0,4.478271,3968.902588,3925.0,3865.731689,0.0,0.0,0.0
2.0,2.0,4.499268,3970.792725,3919.268311,3866.951416,0.0,0.0,0.0
2.0,2.0,4.553467,3969.451416,3915.427002,3866.280518,0.0,0.0,0.0
2.0,2.0,4.587891,3967.743896,3915.670898,3864.817139,0.0,0.0,0.0
2.0,2.0,4.587646,3964.390381,3916.951416,3863.475586,0.0,0.0,0.0
2.0,2.0,4.52832,3957.743896,3919.756104,3861.890381,0.0,0.0,0.0
2.0,2.0,4.445801,3951.280518,3918.902588,3861.036621,0.0,0.0,0.0
2.0,2.0,4.365967,3947.62207,3914.512207,3862.927002,0.0,0.0,0.0
2.0,2.0,4.307129,3950.670898,3905.365967,3868.35376,0.0,0.0,0.0
2.0,2.0,4.293457,3952.073242,3898.170898,3872.134277,0.0,0.0,0.0
2.0,2.0,4.280762,3950.731689,3888.780518,3874.268311,0.0,0.0,0.0
2.0,2.0,4.309082,3947.865967,3877.073242,3873.902588,0.0,0.0,0.0
2.0,2.0,4.387451,3944.268311,3867.804932,3871.402588,0.0,0.0,0.0
2.0,2.0,4.466797,3944.390381,3861.463623,3867.927002,0.0,0.0,0.0
2.0,2.0,4.531494,3944.451416,3858.35376,3864.939209,0.0,0.0,0.0
2.0,2.0,4.563965,3943.170898,3857.256104,3861.768311,0.0,0.0,0.0
2.0,2.0,4.568848,3945.914795,3856.219482,3859.451416,0.0,0.0,0.0
2.0,2.0,4.587646,3944.878174,3853.658691,3856.829346,0.0,0.0,0.0
2.0,2.0,4.617432,3942.5,3849.268311,3854.085449,0.0,0.0,0.0
2.0,2.0,4.661621,3942.62207,3846.158691,3853.109863,0.0,0.0,0.0
2.0,2.0,4.720215,3940.12207,3844.20752,3853.597656,0.0,0.0,0.0
