0.167969,0.148438,0.964844,-1.890244,0.000000,-2.317073,0.000000.1,0.000000.2,0.000000.3
0.196289,0.121094,0.993652,-0.182927,1.219512,-21.585367,0.0,0.0,0.0
0.194824,0.13623,0.974121,-1.219512,2.5,-20.243902,0.0,0.0,0.0
0.177734,0.149414,0.94873,1.280488,3.597561,-20.0,0.0,0.0,0.0
0.172852,0.166992,0.931152,4.634146,3.04878,-20.243902,0.0,0.0,0.0
0.164062,0.179688,0.924805,5.914634,1.280488,-19.87805,0.0,0.0,0.0
0.157227,0.201172,0.933594,7.804878,-0.731707,-19.817074,0.0,0.0,0.0
0.162109,0.222168,0.966309,9.02439,-2.378049,-19.634148,0.0,0.0,0.0
0.151855,0.251953,1.000977,9.634147,-3.353659,-18.902439,0.0,0.0,0.0
0.145508,0.306641,1.037109,7.743903,-2.621951,-20.304878,0.0,0.0,0.0
0.145508,0.307617,1.055664,3.109756,-1.95122,-21.402439,0.0,0.0,0.0
0.139648,0.329102,1.06543,-0.487805,-2.256098,-21.95122,0.0,0.0,0.0
0.133789,0.363281,1.094727,-0.182927,-0.914634,-24.512196,0.0,0.0,0.0
0.135254,0.381348,1.115234,-0.609756,-0.060976,-27.134148,0.0,0.0,0.0
0.131836,0.402832,1.13623,0.365854,2.195122,-31.890245,0.0,0.0,0.0
0.132812,0.417969,1.15918,1.158537,4.634146,-36.707317,0.0,0.0,0.0
0.133301,0.414551,1.174805,3.963415,8.04878,-42.560978,0.0,0.0,0.0
0.141113,0.396973,1.182129,7.987805,10.914635,-48.048782,0.0,0.0,0.0
0.150879,0.367676,1.203125,10.914635,13.780488,-52.134148,0.0,0.0,0.0
0.158203,0.340332,1.230957,12.256098,16.341463,-55.0,0.0,0.0,0.0
0.156738,0.308105,1.265137,9.939025,19.024391,-57.134148,0.0,0.0,0.0
0.154785,0.281738,1.286621,7.865854,22.073172,-57.621952,0.0,0.0,0.0
0.157227,0.270996,1.276855,6.097561,25.853659,-57.865856,0.0,0.0,0.0
