0.122070,-0.065918,1.020020,0.000000,-3.719512,6.890244,0.000000.1,0.000000.2,0.000000.3
0.205078,0.334961,0.370117,-22.195122,130.548782,-115.36586,0.0,0.0,0.0
0.189453,0.274414,0.288086,-21.829269,112.804878,-115.060982,0.0,0.0,0.0
0.170898,0.227539,0.228027,-25.42683,102.378052,-113.963417,0.0,0.0,0.0
0.14209,0.1875,0.151367,-31.158537,88.231712,-114.207321,0.0,0.0,0.0
0.10791,0.152344,0.044434,-32.865856,76.524391,-113.658539,0.0,0.0,0.0
0.086914,0.12793,-0.049805,-20.060976,64.024391,-113.780487,0.0,0.0,0.0
0.054688,0.100586,-0.118652,-6.219512,46.890244,-116.707321,0.0,0.0,0.0
0.03418,0.077148,-0.142578,6.097561,32.560978,-120.060982,0.0,0.0,0.0
0.024902,0.048828,-0.118164,15.792684,16.768293,-123.109756,0.0,0.0,0.0
0.014648,-0.007324,-0.037598,23.353659,-0.97561,-126.829269,0.0,0.0,0.0
0.021484,-0.078125,0.028809,24.573172,-13.902439,-128.902435,0.0,0.0,0.0
0.029297,-0.16748,0.056152,21.768293,-24.207317,-129.085373,0.0,0.0,0.0
0.039551,-0.233887,0.031738,17.134148,-36.036587,-126.280487,0.0,0.0,0.0
0.064941,-0.278809,0.008301,15.487805,-48.109756,-122.987808,0.0,0.0,0.0
0.084961,-0.338867,-0.008301,18.109756,-61.829269,-120.36586,0.0,0.0,0.0
0.091309,-0.391113,-0.041992,26.219513,-74.573174,-117.926834,0.0,0.0,0.0
0.116211,-0.441406,0.009277,39.817074,-93.170731,-114.634148,0.0,0.0,0.0
0.154785,-0.477051,0.094238,47.195122,-107.865852,-111.890244,0.0,0.0,0.0
0.180664,-0.550781,0.228027,51.829269,-120.914635,-106.829269,0.0,0.0,0.0
0.221191,-0.659668,0.330078,54.512196,-131.219513,-98.292686,0.0,0.0,0.0
0.250977,-0.741211,0.414062,55.487804,-138.414642,-88.719513,0.0,0.0,0.0
0.345703,-0.787109,0.50293,54.939026,-144.939026,-97.5,0.0,0.0,0.0
0.202148,-1.186035,0.575684,61.890244,-148.597565,-120.121956,0.0,0.0,0.0
0.364746,-0.838379,0.68457,68.231712,-159.085373,-36.524391,0.0,0.0,0.0
0.408203,-0.759277,0.794922,77.439026,-163.353668,-16.646341,0.0,0.0,0.0
0.430176,-0.681152,0.916016,90.975609,-164.878052,-2.378049,0.0,0.0,0.0
0.431152,-0.591309,1.084961,104.085365,-169.939026,32.195122,0.0,0.0,0.0
0.52002,-0.458008,1.438965,123.841469,-198.414642,35.548782,0.0,0.0,0.0
0.522949,-0.38916,1.478516,91.829269,-163.841461,34.817074,0.0,0.0,0.0
0.480469,-0.367676,1.631348,79.695122,-154.573181,31.707317,0.0,0.0,0.0
0.45459,-0.35498,1.691895,67.926834,-140.36586,35.975609,0.0,0.0,0.0
0.436035,-0.335938,1.685059,62.439026,-126.829269,39.7561,0.0,0.0,0.0
0.427246,-0.3125,1.655762,60.304878,-113.170731,42.92683,0.0,0.0,0.0
0.407227,-0.288574,1.645996,61.707317,-101.341469,45.548782,0.0,0.0,0.0
0.391602,-0.28418,1.658203,61.829269,-93.231712,46.951221,0.0,0.0,0.0
0.382324,-0.277344,1.664551,57.621952,-86.036591,51.158539,0.0,0.0,0.0
0.338379,-0.226074,1.711914,48.109756,-79.329269,58.536587,0.0,0.0,0.0
0.319824,-0.160645,1.758301,39.695122,-72.134148,62.439026,0.0,0.0,0.0
0.23877,-0.166016,1.725586,32.987804,-63.963417,72.926834,0.0,0.0,0.0
0.522461,0.085938,1.821777,26.402439,-51.036587,98.780487,0.0,0.0,0.0
0.241699,0.0,1.702637,17.865854,-37.987804,66.097565,0.0,0.0,0.0
0.219238,0.058105,1.672363,13.170732,-26.768293,58.048782,0.0,0.0,0.0
0.22168,-0.02832,1.672852,13.841464,-15.670732,50.182926,0.0,0.0,0.0
0.234863,-0.112793,1.632812,15.54878,-3.170732,49.329269,0.0,0.0,0.0
0.229004,-0.131836,1.56543,18.353659,9.695122,52.073174,0.0,0.0,0.0
0.211914,-0.104004,1.442871,17.682928,19.634148,54.390244,0.0,0.0,0.0
0.215332,-0.116699,1.44873,14.390244,25.54878,57.987804,0.0,0.0,0.0
0.199707,-0.081543,1.364746,8.292683,30.487806,62.743904,0.0,0.0,0.0
0.193359,-0.035156,1.319336,3.170732,34.268295,65.853661,0.0,0.0,0.0
0.186035,0.021484,1.217773,0.304878,38.048782,67.743904,0.0,0.0,0.0
