0.090332,0.187988,1.004883,-0.731707,-2.134146,-0.731707.1,0.000000,0.000000.1,0.000000.2
-0.098633,-0.069336,0.851562,7.256098,113.475609,-12.134147,0.0,0.0,0.0
-0.117676,-0.071777,0.81543,7.560976,112.073174,-7.439024,0.0,0.0,0.0
-0.138184,-0.050293,0.799805,6.829268,110.914635,-3.353659,0.0,0.0,0.0
-0.157715,-0.040527,0.77002,5.914634,110.060982,-0.609756,0.0,0.0,0.0
-0.173828,-0.028809,0.733398,4.512195,108.414635,1.890244,0.0,0.0,0.0
-0.178711,-0.026855,0.670898,3.292683,106.829269,3.963415,0.0,0.0,0.0
-0.205078,-0.032227,0.623047,2.317073,105.365852,5.243903,0.0,0.0,0.0
-0.216797,-0.068848,0.544922,-3.597561,107.073174,6.52439,0.0,0.0,0.0
-0.208008,-0.09375,0.505371,1.829268,96.280487,8.597561,0.0,0.0,0.0
-0.200684,-0.135742,0.48877,2.926829,90.304878,12.134147,0.0,0.0,0.0
-0.204102,-0.175781,0.481445,8.109756,80.670731,17.743902,0.0,0.0,0.0
-0.206543,-0.174805,0.480957,9.817074,74.756096,24.939026,0.0,0.0,0.0
-0.207031,-0.175781,0.473633,8.963415,70.0,31.585367,0.0,0.0,0.0
-0.214844,-0.172363,0.44873,4.756098,64.695122,38.597561,0.0,0.0,0.0
-0.218262,-0.156738,0.41748,-0.426829,58.109756,46.951221,0.0,0.0,0.0
-0.226074,-0.140137,0.40625,-5.0,51.768295,53.780491,0.0,0.0,0.0
-0.229004,-0.119629,0.365234,-9.878049,45.0,61.036587,0.0,0.0,0.0
-0.239746,-0.09375,0.344727,-12.012196,36.707317,67.987808,0.0,0.0,0.0
-0.240234,-0.041992,0.326172,-15.060976,28.292683,73.536591,0.0,0.0,0.0
-0.237793,-0.005371,0.323242,-16.402439,19.512196,77.804878,0.0,0.0,0.0
-0.239258,0.032715,0.34375,-15.792684,10.670732,81.341469,0.0,0.0,0.0
-0.233887,0.075684,0.433594,-14.207317,1.158537,84.695122,0.0,0.0,0.0
-0.227051,0.098633,0.474121,-14.02439,-2.5,87.134148,0.0,0.0,0.0
-0.227539,0.166504,0.482422,-14.817074,-5.54878,89.756096,0.0,0.0,0.0
-0.224121,0.209473,0.503906,-15.670732,-9.146341,89.939026,0.0,0.0,0.0
-0.224121,0.221191,0.539062,-16.097561,-12.5,89.939026,0.0,0.0,0.0
-0.220215,0.263672,0.565918,-16.402439,-14.268293,90.487808,0.0,0.0,0.0
-0.229492,0.311035,0.55127,-16.585365,-15.121951,90.243904,0.0,0.0,0.0
-0.216309,0.331055,0.520508,-16.463415,-17.560976,89.512199,0.0,0.0,0.0
-0.213867,0.34082,0.522461,-15.914635,-21.036587,88.902443,0.0,0.0,0.0
-0.213867,0.375977,0.491211,-15.426829,-24.756098,88.963417,0.0,0.0,0.0
-0.230469,0.40332,0.479492,-13.719513,-30.182928,87.926834,0.0,0.0,0.0
-0.226074,0.436523,0.537598,-12.743903,-36.768295,87.134148,0.0,0.0,0.0
-0.225098,0.462891,0.561035,-13.47561,-40.731709,86.524391,0.0,0.0,0.0
-0.228516,0.510254,0.593262,-14.207317,-45.304878,84.756096,0.0,0.0,0.0
-0.228027,0.535645,0.619141,-15.060976,-49.146343,82.195122,0.0,0.0,0.0
-0.229004,0.570801,0.655762,-15.426829,-52.621952,78.414635,0.0,0.0,0.0
-0.21582,0.581543,0.681152,-15.0,-55.243904,74.878052,0.0,0.0,0.0
-0.201172,0.589355,0.707031,-14.878049,-57.987804,69.939026,0.0,0.0,0.0
-0.193359,0.597168,0.741211,-14.146341,-60.304878,65.18293,0.0,0.0,0.0
-0.17041,0.598633,0.754883,-13.231708,-62.012196,60.18293,0.0,0.0,0.0
-0.145996,0.584961,0.773926,-11.646341,-63.109756,55.0,0.0,0.0,0.0
-0.116211,0.55127,0.762207,-9.329268,-64.146339,50.304878,0.0,0.0,0.0
-0.099121,0.54248,0.77002,-6.707317,-65.060974,48.414635,0.0,0.0,0.0
