2.000000,2.000000.1,4.367920,3973.841553,3706.524414,3817.561035,0.000000,0.000000.1,0.000000.2
2.0,2.0,1.376221,3935.609863,3727.683105,3863.780518,0.0,0.0,0.0
2.0,2.0,1.363281,3946.890381,3735.975586,3856.341553,0.0,0.0,0.0
2.0,2.0,1.369385,3963.841553,3746.341553,3847.743896,0.0,0.0,0.0
2.0,2.0,1.340088,3979.024414,3758.902588,3843.414795,0.0,0.0,0.0
2.0,2.0,1.297119,9.45122,3773.109863,3843.414795,0.0,0.0,0.0
2.0,2.0,1.109131,18.475611,3784.146484,3847.317139,0.0,0.0,0.0
2.0,2.0,1.022461,24.695122,3787.743896,3849.817139,0.0,0.0,0.0
2.0,2.0,4.910645,9.45122,3786.585449,3845.792725,0.0,0.0,0.0
2.0,2.0,4.843018,3990.061035,3781.70752,3836.890381,0.0,0.0,0.0
2.0,2.0,4.793457,3966.829346,3776.829346,3824.024414,0.0,0.0,0.0
2.0,2.0,4.880615,3965.365967,3774.329346,3816.341553,0.0,0.0,0.0
2.0,2.0,4.880127,3978.841553,3779.817139,3815.609863,0.0,0.0,0.0
2.0,2.0,4.892822,3994.390381,3788.780518,3816.585449,0.0,0.0,0.0
2.0,2.0,4.953125,26.402439,3797.5,3814.878174,0.0,0.0,0.0
2.0,2.0,4.953613,62.073174,3809.634277,3806.951416,0.0,0.0,0.0
2.0,2.0,4.827881,75.792686,3823.292725,3794.878174,0.0,0.0,0.0
2.0,2.0,4.699219,85.609756,3828.658691,3789.329346,0.0,0.0,0.0
2.0,2.0,4.525879,101.890244,3830.670898,3787.683105,0.0,0.0,0.0
2.0,2.0,4.27417,79.817078,3821.829346,3782.987793,0.0,0.0,0.0
2.0,2.0,4.087158,73.414635,3802.012207,3788.597656,0.0,0.0,0.0
2.0,2.0,4.123779,50.060978,3777.804932,3794.512207,0.0,0.0,0.0
2.0,2.0,4.180176,22.134148,3759.146484,3798.414795,0.0,0.0,0.0
2.0,2.0,4.151123,32.743904,3741.219482,3805.243896,0.0,0.0,0.0
2.0,2.0,4.26001,36.280487,3728.536621,3813.048828,0.0,0.0,0.0
2.0,2.0,4.266113,36.829269,3715.548828,3822.195312,0.0,0.0,0.0
2.0,2.0,4.217041,36.585365,3703.414795,3837.62207,0.0,0.0,0.0
