0.085693,-0.133301,0.990967,-7.987805,1.463415,12.134147,0.0,0.0,0.0
0.079346,-0.144043,1.00293,-7.073171,1.402439,12.987805,0.0,0.0,0.0
0.076416,-0.143311,1.003906,-7.317073,1.890244,13.414635,0.0,0.0,0.0
0.077393,-0.153076,1.007812,-7.195122,2.743902,14.756098,0.0,0.0,0.0
0.075195,-0.144287,0.992188,-7.987805,3.231707,16.036585,0.0,0.0,0.0
0.063965,-0.117432,0.985352,-7.865854,3.170732,17.37805,0.0,0.0,0.0
0.068115,-0.067139,0.961914,-8.292683,3.170732,17.682928,0.0,0.0,0.0
0.062012,-0.064209,0.943115,-8.231708,1.707317,15.670732,0.0,0.0,0.0
0.067139,-0.078369,0.94873,-7.621952,0.182927,14.329268,0.0,0.0,0.0
0.063721,-0.09375,0.952637,-7.560976,-1.036585,13.47561,0.0,0.0,0.0
0.071777,-0.123779,0.954346,-5.792683,-1.95122,12.804878,0.0,0.0,0.0
0.062988,-0.151855,0.968994,-5.0,-2.5,13.536586,0.0,0.0,0.0
0.066895,-0.1521,0.970703,-4.146341,-2.682927,14.878049,0.0,0.0,0.0
0.078613,-0.130127,0.968018,-4.146341,-2.743902,16.036585,0.0,0.0,0.0
0.077393,-0.163818,0.95752,-6.829268,-3.47561,15.914635,0.0,0.0,0.0
0.085449,-0.186523,0.972656,-8.963415,-4.329268,17.804878,0.0,0.0,0.0
0.078369,-0.206543,0.95874,-7.439024,-4.695122,19.329269,0.0,0.0,0.0
0.081299,-0.198486,0.973145,-5.731708,-5.365854,21.585367,0.0,0.0,0.0
0.071289,-0.203613,0.973877,-8.109756,-6.280488,23.536587,0.0,0.0,0.0
0.070068,-0.188965,0.953857,-7.987805,-5.914634,25.54878,0.0,0.0,0.0
0.064941,-0.18457,0.935791,-7.987805,-6.585366,26.768293,0.0,0.0,0.0
