-1.743159999999999987e-01,2.241209999999999869e-01,9.462890000000000468e-01,0.000000000000000000e+00,-2.012195000000000178e+00,1.219510000000000038e-01,0.000000000000000000e+00.1,0.000000000000000000e+00.2,0.000000000000000000e+00.3
0.157715,0.051758,1.210449,9.756098,71.829269,-43.231709,0.0,0.0,0.0
0.150879,0.055664,1.15332,12.682927,73.902443,-40.914635,0.0,0.0,0.0
0.137695,0.062012,1.100586,15.792684,74.817078,-38.475609,0.0,0.0,0.0
0.120117,0.09668,1.089355,19.390244,73.719513,-35.853661,0.0,0.0,0.0
0.108887,0.123535,1.097168,21.219513,74.146339,-34.329269,0.0,0.0,0.0
0.100098,0.140137,1.111816,19.146341,75.670731,-33.353661,0.0,0.0,0.0
0.074707,0.156738,1.113281,17.317074,78.292686,-32.2561,0.0,0.0,0.0
0.075684,0.166504,1.111328,14.45122,81.951218,-32.195122,0.0,0.0,0.0
0.067871,0.145508,1.072266,12.987805,86.097565,-32.134148,0.0,0.0,0.0
0.075195,0.151855,1.016602,11.768293,88.475609,-31.646341,0.0,0.0,0.0
0.068848,0.146973,0.942383,12.073171,89.573174,-30.609756,0.0,0.0,0.0
0.056152,0.15625,0.885254,12.804878,87.865852,-29.45122,0.0,0.0,0.0
0.037109,0.15625,0.855957,13.231708,85.487808,-28.414635,0.0,0.0,0.0
0.026855,0.126465,0.852539,14.634147,82.865852,-26.463415,0.0,0.0,0.0
0.0,0.160156,0.851562,13.536586,80.426834,-24.024391,0.0,0.0,0.0
-0.016113,0.15918,0.833984,10.853659,79.512199,-22.5,0.0,0.0,0.0
-0.035645,0.158203,0.818848,7.682927,77.256096,-20.853659,0.0,0.0,0.0
-0.041992,0.154297,0.800781,5.304878,75.487808,-18.841463,0.0,0.0,0.0
-0.056152,0.175293,0.796387,4.390244,73.414635,-16.829269,0.0,0.0,0.0
-0.080078,0.226562,0.759766,2.865854,72.134148,-16.219513,0.0,0.0,0.0
-0.07373,0.219727,0.741699,1.463415,68.536591,-16.158537,0.0,0.0,0.0
-0.090332,0.201172,0.730469,3.414634,65.243904,-15.487805,0.0,0.0,0.0
-0.099609,0.188965,0.736816,6.52439,61.524391,-14.878049,0.0,0.0,0.0
-0.116211,0.168457,0.768555,9.817074,58.902439,-13.414635,0.0,0.0,0.0
-0.120605,0.164551,0.773926,11.95122,57.743904,-11.52439,0.0,0.0,0.0
-0.131836,0.154785,0.784668,11.52439,56.280491,-9.634147,0.0,0.0,0.0
-0.145508,0.157715,0.800293,11.707317,55.0,-7.134147,0.0,0.0,0.0
-0.146973,0.178223,0.785645,8.902439,54.695122,-4.512195,0.0,0.0,0.0
-0.15625,0.261719,0.70752,2.317073,53.719513,-3.47561,0.0,0.0,0.0
-0.168945,0.242188,0.63916,-2.317073,49.207317,-5.243903,0.0,0.0,0.0
-0.170898,0.211426,0.638672,-2.256098,42.2561,-4.45122,0.0,0.0,0.0
-0.192383,0.222168,0.678223,0.487805,38.719513,-2.682927,0.0,0.0,0.0
-0.19043,0.231445,0.702637,5.670732,34.085365,-1.890244,0.0,0.0,0.0
-0.203125,0.246582,0.696289,7.317073,29.634148,-1.036585,0.0,0.0,0.0
-0.209473,0.258789,0.716797,5.853659,26.463415,-1.585366,0.0,0.0,0.0
-0.216309,0.227539,0.740234,4.939024,24.024391,-1.097561,0.0,0.0,0.0
-0.218262,0.21875,0.742188,4.45122,22.5,-0.670732,0.0,0.0,0.0
-0.219727,0.218262,0.728516,1.95122,21.95122,0.731707,0.0,0.0,0.0
-0.22168,0.236328,0.683105,-0.243902,19.634148,1.95122,0.0,0.0,0.0
-0.240234,0.242188,0.681641,-0.853659,17.5,2.134146,0.0,0.0,0.0
-0.249512,0.216309,0.663086,-0.304878,14.085366,2.743902,0.0,0.0,0.0
-0.246094,0.212402,0.636719,2.682927,10.487805,4.085366,0.0,0.0,0.0
-0.248047,0.229492,0.628418,4.695122,5.365854,5.731708,0.0,0.0,0.0
-0.243652,0.258789,0.647949,6.158537,-0.121951,7.073171,0.0,0.0,0.0
-0.260254,0.304688,0.719238,5.731708,-4.695122,7.134147,0.0,0.0,0.0
-0.252441,0.310059,0.775391,4.02439,-6.280488,6.219512,0.0,0.0,0.0
-0.254883,0.297852,0.80127,3.414634,-6.707317,6.158537,0.0,0.0,0.0
-0.250977,0.275391,0.817383,4.207317,-7.621952,6.768293,0.0,0.0,0.0
-0.245117,0.288086,0.803223,2.743902,-5.914634,7.5,0.0,0.0,0.0
-0.241699,0.327148,0.787598,1.341463,-6.768293,8.109756,0.0,0.0,0.0
-0.248535,0.344727,0.798828,-0.670732,-9.146341,6.585366,0.0,0.0,0.0
-0.248535,0.332031,0.816406,-1.341463,-10.487805,5.670732,0.0,0.0,0.0
-0.25,0.321777,0.82666,0.121951,-11.341464,5.609756,0.0,0.0,0.0
-0.249023,0.33252,0.842773,1.646341,-12.987805,5.731708,0.0,0.0,0.0
-0.249023,0.334473,0.850586,1.463415,-14.207317,5.54878,0.0,0.0,0.0
-0.250977,0.333008,0.860352,-0.426829,-15.97561,5.060976,0.0,0.0,0.0
-0.262695,0.327148,0.890625,-1.585366,-17.317074,4.390244,0.0,0.0,0.0
-0.260742,0.300781,0.928223,-0.792683,-17.439024,4.329268,0.0,0.0,0.0
-0.25,0.34082,0.967773,2.865854,-18.109756,5.914634,0.0,0.0,0.0
-0.255859,0.366699,0.978027,0.609756,-14.939025,5.121951,0.0,0.0,0.0
-0.242188,0.349609,0.966309,0.060976,-13.414635,3.109756,0.0,0.0,0.0
-0.238281,0.34375,0.960449,-1.036585,-13.109756,2.804878,0.0,0.0,0.0
-0.234863,0.364258,0.963379,-0.365854,-12.560976,2.134146,0.0,0.0,0.0
-0.24707,0.353027,0.968262,0.121951,-12.439025,0.792683,0.0,0.0,0.0
-0.23877,0.334961,1.00293,0.304878,-11.890244,0.121951,0.0,0.0,0.0
-0.241699,0.328125,1.003418,0.670732,-10.487805,-0.121951,0.0,0.0,0.0
-0.245605,0.327637,1.000977,-0.182927,-9.268292,-0.97561,0.0,0.0,0.0
-0.23584,0.307129,1.002441,-0.914634,-7.987805,-1.341463,0.0,0.0,0.0
-0.241699,0.29248,0.992188,-1.341463,-6.829268,-0.731707,0.0,0.0,0.0
-0.23584,0.305176,0.97168,-0.97561,-6.280488,0.121951,0.0,0.0,0.0
-0.242676,0.314941,0.974609,-1.402439,-6.768293,0.304878,0.0,0.0,0.0
-0.244629,0.297363,0.994141,-1.402439,-6.341464,0.365854,0.0,0.0,0.0
-0.243164,0.280273,1.001953,-0.060976,-5.121951,0.792683,0.0,0.0,0.0
-0.241699,0.291992,1.001953,1.463415,-3.841464,1.402439,0.0,0.0,0.0
-0.241211,0.305176,0.991699,0.853659,-2.073171,1.707317,0.0,0.0,0.0
-0.23877,0.293457,0.963379,-1.158537,-1.036585,1.402439,0.0,0.0,0.0
-0.229004,0.30127,0.936035,-0.609756,-1.097561,2.012195,0.0,0.0,0.0
-0.243164,0.32373,0.932129,0.426829,-2.256098,2.012195,0.0,0.0,0.0
-0.233398,0.312012,0.966309,1.95122,-2.987805,1.097561,0.0,0.0,0.0
-0.233887,0.296387,0.97168,3.353659,-2.378049,1.402439,0.0,0.0,0.0
-0.229492,0.29834,0.974609,4.45122,-1.463415,2.134146,0.0,0.0,0.0
-0.22998,0.29834,0.978027,3.170732,-0.609756,1.768293,0.0,0.0,0.0
-0.239746,0.277832,0.964844,1.036585,0.487805,2.317073,0.0,0.0,0.0
-0.237305,0.274414,0.941895,0.304878,1.341463,3.597561,0.0,0.0,0.0
-0.23584,0.302246,0.907715,-0.304878,1.341463,4.390244,0.0,0.0,0.0
-0.240723,0.320801,0.886719,0.0,0.609756,4.329268,0.0,0.0,0.0
-0.234863,0.337891,0.887695,0.97561,-1.402439,3.597561,0.0,0.0,0.0
-0.234375,0.335449,0.894531,2.560976,-2.439024,2.865854,0.0,0.0,0.0
-0.233887,0.32373,0.913086,4.45122,-2.743902,2.621951,0.0,0.0,0.0
-0.233887,0.322266,0.933594,5.182927,-2.682927,2.560976,0.0,0.0,0.0
-0.229004,0.331055,0.945801,4.02439,-2.439024,2.804878,0.0,0.0,0.0
-0.23877,0.339355,0.963379,1.585366,-1.219512,2.012195,0.0,0.0,0.0
-0.228027,0.316406,0.953125,-0.182927,0.731707,1.585366,0.0,0.0,0.0
-0.223633,0.308594,0.920898,-0.487805,1.341463,1.585366,0.0,0.0,0.0
-0.224121,0.324219,0.890625,-0.609756,0.731707,1.829268,0.0,0.0,0.0
-0.229004,0.334473,0.894043,0.304878,-0.609756,1.219512,0.0,0.0,0.0
-0.235352,0.324219,0.910645,0.426829,-1.280488,0.609756,0.0,0.0,0.0
-0.231934,0.308594,0.910156,0.853659,-1.463415,0.731707,0.0,0.0,0.0
-0.23584,0.325195,0.894531,1.768293,-1.463415,0.914634,0.0,0.0,0.0
-0.238281,0.324707,0.898438,2.134146,-2.621951,0.792683,0.0,0.0,0.0
-0.238281,0.317383,0.916504,1.890244,-2.865854,0.670732,0.0,0.0,0.0
-0.229004,0.313477,0.926758,1.890244,-2.804878,1.097561,0.0,0.0,0.0
-0.235352,0.311523,0.948242,0.914634,-2.012195,1.158537,0.0,0.0,0.0
-0.238281,0.327148,0.947266,-0.365854,-0.914634,1.463415,0.0,0.0,0.0
-0.226562,0.324219,0.929199,-1.829268,-0.365854,1.158537,0.0,0.0,0.0
-0.213867,0.348633,0.904297,-1.646341,-0.426829,1.341463,0.0,0.0,0.0
-0.222656,0.354492,0.906738,-0.914634,-1.829268,0.060976,0.0,0.0,0.0
-0.220215,0.324219,0.936523,0.609756,-2.682927,-0.914634,0.0,0.0,0.0
-0.220215,0.323242,0.946289,1.95122,-1.890244,-1.097561,0.0,0.0,0.0
-0.229004,0.324219,0.949219,1.707317,-1.402439,-0.97561,0.0,0.0,0.0
-0.222656,0.303711,0.951172,0.365854,-0.914634,-0.914634,0.0,0.0,0.0
-0.220703,0.299316,0.957031,-1.036585,-0.182927,-0.304878,0.0,0.0,0.0
-0.225098,0.297363,0.942871,-1.95122,0.609756,0.121951,0.0,0.0,0.0
-0.223633,0.305664,0.924316,-2.621951,1.463415,1.158537,0.0,0.0,0.0
-0.222656,0.330078,0.902832,-3.109756,1.036585,1.219512,0.0,0.0,0.0
-0.225098,0.328125,0.892578,-2.5,0.365854,0.426829,0.0,0.0,0.0
-0.227051,0.318359,0.893066,-0.792683,-0.548781,0.121951,0.0,0.0,0.0
-0.220703,0.311035,0.88623,0.731707,-1.036585,0.121951,0.0,0.0,0.0
-0.229492,0.311523,0.900391,1.95122,-2.621951,0.365854,0.0,0.0,0.0
-0.22168,0.300781,0.925293,1.646341,-2.743902,0.304878,0.0,0.0,0.0
-0.221191,0.300781,0.942871,0.426829,-2.317073,0.731707,0.0,0.0,0.0
-0.22168,0.312988,0.936035,-0.548781,-1.646341,1.463415,0.0,0.0,0.0
-0.222656,0.322754,0.927246,-1.707317,-1.158537,1.402439,0.0,0.0,0.0
-0.220215,0.324219,0.913086,-1.52439,-1.280488,1.585366,0.0,0.0,0.0
-0.217285,0.342285,0.910645,-0.853659,-1.95122,1.890244,0.0,0.0,0.0
-0.220215,0.352051,0.906738,0.182927,-2.621951,1.402439,0.0,0.0,0.0
-0.224609,0.345703,0.926758,1.158537,-3.353659,0.182927,0.0,0.0,0.0
-0.226074,0.350098,0.938477,1.402439,-2.865854,-0.670732,0.0,0.0,0.0
-0.223145,0.342285,0.941895,1.280488,-2.5,-0.97561,0.0,0.0,0.0
-0.22168,0.327148,0.944824,0.792683,-1.707317,-1.158537,0.0,0.0,0.0
-0.222656,0.320801,0.935059,-0.670732,-1.036585,-1.219512,0.0,0.0,0.0
-0.213379,0.310059,0.928711,-1.158537,-0.670732,-0.853659,0.0,0.0,0.0
-0.210449,0.304199,0.929199,-0.426829,-1.280488,-0.304878,0.0,0.0,0.0
-0.220215,0.313477,0.929688,-0.731707,-1.097561,0.365854,0.0,0.0,0.0
-0.21875,0.319336,0.926758,-0.792683,-1.463415,0.121951,0.0,0.0,0.0
-0.219727,0.31543,0.933105,-0.365854,-1.585366,0.182927,0.0,0.0,0.0
-0.218262,0.319336,0.932129,-0.182927,-1.402439,-0.121951,0.0,0.0,0.0
-0.21875,0.317871,0.932617,0.365854,-0.853659,-0.182927,0.0,0.0,0.0
-0.213867,0.319824,0.936523,0.670732,-1.097561,-0.365854,0.0,0.0,0.0
-0.217285,0.304688,0.933105,1.158537,-0.853659,-0.609756,0.0,0.0,0.0
-0.22168,0.305664,0.922852,0.426829,-0.670732,0.0,0.0,0.0,0.0
-0.225098,0.311035,0.918945,-0.121951,-0.670732,0.0,0.0,0.0,0.0
-0.22168,0.310547,0.913086,-0.731707,-1.158537,0.487805,0.0,0.0,0.0
-0.222168,0.30957,0.908203,-0.365854,-1.585366,0.365854,0.0,0.0,0.0
-0.226562,0.314941,0.914062,0.609756,-1.829268,0.548781,0.0,0.0,0.0
-0.224609,0.327148,0.914551,1.036585,-3.04878,0.792683,0.0,0.0,0.0
-0.219727,0.332031,0.930176,0.548781,-2.804878,0.121951,0.0,0.0,0.0
