-1.611329999999999985e-01,2.915039999999999853e-01,9.750980000000000203e-01,0.000000000000000000e+00,2.439020000000000077e-01,-1.158536999999999928e+00,0.000000000000000000e+00.1,0.000000000000000000e+00.2,0.000000000000000000e+00.3
-0.165527,0.318848,0.937012,1.158537,0.609756,0.426829,0.0,0.0,0.0
-0.171875,0.310547,0.926758,-0.426829,0.365854,0.121951,0.0,0.0,0.0
-0.178711,0.312012,0.910645,-0.914634,0.304878,-0.365854,0.0,0.0,0.0
-0.174316,0.296387,0.902832,-0.060976,0.0,-0.609756,0.0,0.0,0.0
-0.17041,0.299316,0.899414,1.158537,-0.853659,0.0,0.0,0.0,0.0
-0.168457,0.314941,0.881348,0.670732,-0.731707,-0.426829,0.0,0.0,0.0
-0.168457,0.295898,0.851074,1.280488,-2.073171,-1.219512,0.0,0.0,0.0
-0.166992,0.281738,0.842773,2.378049,-3.536585,-0.853659,0.0,0.0,0.0
-0.161133,0.276855,0.817383,3.292683,-5.182927,-1.036585,0.0,0.0,0.0
-0.152832,0.275879,0.791016,4.634146,-7.134147,-0.548781,0.0,0.0,0.0
-0.144043,0.265625,0.772949,6.829268,-10.121951,-0.243902,0.0,0.0,0.0
-0.143066,0.258301,0.804688,7.804878,-13.353659,0.243902,0.0,0.0,0.0
-0.140625,0.262695,0.821289,7.195122,-14.573171,0.914634,0.0,0.0,0.0
-0.144043,0.276367,0.804688,5.365854,-15.670732,1.219512,0.0,0.0,0.0
-0.132324,0.262695,0.800781,3.536585,-17.37805,1.402439,0.0,0.0,0.0
-0.128418,0.259277,0.775879,2.804878,-18.353659,1.890244,0.0,0.0,0.0
-0.106934,0.257324,0.739258,2.073171,-20.060976,2.317073,0.0,0.0,0.0
-0.09375,0.247559,0.695312,3.47561,-22.560976,2.560976,0.0,0.0,0.0
-0.09375,0.244629,0.662109,5.182927,-27.073172,2.682927,0.0,0.0,0.0
-0.08252,0.23584,0.65625,5.54878,-32.07317,2.439024,0.0,0.0,0.0
-0.067383,0.196289,0.631836,7.134147,-37.682926,2.378049,0.0,0.0,0.0
-0.070801,0.137207,0.607422,8.536586,-43.780487,3.658537,0.0,0.0,0.0
