0.149414,-0.004883,0.98877,2.926829,-0.060976,4.512195,0.0,0.0,0.0
0.150879,0.003906,0.988281,3.170732,-0.121951,4.939024,0.0,0.0,0.0
0.151367,0.015137,0.990234,2.743902,-0.365854,5.0,0.0,0.0,0.0
0.144531,0.018066,1.005859,1.829268,-0.609756,5.304878,0.0,0.0,0.0
0.150391,0.019043,1.006836,1.463415,-0.060976,5.121951,0.0,0.0,0.0
0.148438,0.023926,0.996094,2.195122,0.670732,5.182927,0.0,0.0,0.0
0.143066,0.018066,0.993164,2.987805,0.670732,4.573171,0.0,0.0,0.0
0.148438,0.023926,0.987793,3.47561,0.609756,4.695122,0.0,0.0,0.0
0.146484,0.018066,0.981445,2.439024,0.426829,4.512195,0.0,0.0,0.0
0.144043,0.015625,0.981934,1.829268,-0.365854,4.634146,0.0,0.0,0.0
0.152344,0.0,0.979004,1.219512,-1.158537,5.121951,0.0,0.0,0.0
0.149902,0.002441,0.987793,1.707317,-1.585366,6.158537,0.0,0.0,0.0
0.155273,0.010742,1.004883,2.317073,-1.646341,6.463415,0.0,0.0,0.0
0.153809,0.006836,1.016602,2.926829,-1.097561,6.890244,0.0,0.0,0.0
0.146973,0.011719,1.02832,3.231707,-0.792683,6.890244,0.0,0.0,0.0
0.152344,0.019043,1.033203,3.04878,0.731707,7.195122,0.0,0.0,0.0
0.148438,0.013184,1.014648,2.804878,1.95122,7.378049,0.0,0.0,0.0
0.141602,0.013184,0.996094,2.378049,2.134146,7.317073,0.0,0.0,0.0
0.144043,0.013184,0.994629,2.560976,2.012195,7.5,0.0,0.0,0.0
0.144043,0.016602,0.992188,2.621951,1.646341,7.317073,0.0,0.0,0.0
0.133789,0.006348,0.995117,1.707317,1.036585,8.04878,0.0,0.0,0.0
0.143555,0.010742,0.996094,0.426829,0.060976,8.902439,0.0,0.0,0.0
0.136719,0.011719,1.007812,0.792683,0.243902,9.207317,0.0,0.0,0.0
0.130371,0.020996,1.020996,2.5,1.036585,8.780488,0.0,0.0,0.0
0.131836,0.012207,1.022461,3.536585,2.195122,8.841464,0.0,0.0,0.0
0.131348,0.010254,1.012695,4.45122,2.682927,8.902439,0.0,0.0,0.0
0.123535,-0.000488,1.010742,5.426829,2.865854,9.268292,0.0,0.0,0.0
0.125977,-0.006348,1.011719,5.792683,1.890244,10.0,0.0,0.0,0.0
0.126465,-0.020996,1.034668,5.853659,1.280488,10.670732,0.0,0.0,0.0
0.114258,-0.02002,1.058594,6.402439,1.585366,11.52439,0.0,0.0,0.0
0.114258,-0.03418,1.077148,6.646342,2.5,12.743903,0.0,0.0,0.0
0.106445,-0.043945,1.080566,6.707317,4.146341,14.573171,0.0,0.0,0.0
0.100586,-0.053711,1.077637,7.317073,5.243903,17.195122,0.0,0.0,0.0
0.095215,-0.04248,1.089355,9.329268,5.609756,19.939024,0.0,0.0,0.0
0.087891,-0.022949,1.103516,12.865854,5.365854,22.134148,0.0,0.0,0.0
0.080078,0.005371,1.154785,16.95122,6.158537,23.658537,0.0,0.0,0.0
0.089355,0.020996,1.192383,19.817074,8.47561,24.45122,0.0,0.0,0.0
0.078613,0.042969,1.229004,21.219513,11.890244,25.060976,0.0,0.0,0.0
0.077637,0.059082,1.260742,20.42683,14.390244,25.060976,0.0,0.0,0.0
0.064453,0.060547,1.28125,18.170732,18.658537,24.45122,0.0,0.0,0.0
0.060547,0.058594,1.273926,16.402439,22.92683,24.024391,0.0,0.0,0.0
0.055664,0.057129,1.268066,16.158537,26.524391,23.353659,0.0,0.0,0.0
0.062988,0.025391,1.258789,17.804878,30.243902,22.92683,0.0,0.0,0.0
0.053711,0.006348,1.249023,19.756098,32.5,23.902439,0.0,0.0,0.0
0.0625,-0.003906,1.257324,22.560976,34.939026,25.54878,0.0,0.0,0.0
0.07373,-0.004395,1.282227,26.768293,36.768295,27.92683,0.0,0.0,0.0
0.071289,0.015137,1.326172,30.487806,39.573174,31.036587,0.0,0.0,0.0
0.070312,0.071289,1.375977,31.829269,45.365856,33.780487,0.0,0.0,0.0
0.066895,0.112305,1.393555,29.939026,49.7561,34.146343,0.0,0.0,0.0
0.071289,0.156738,1.404297,27.256098,56.524391,32.865856,0.0,0.0,0.0
0.070312,0.181641,1.386719,24.146341,63.109756,29.939026,0.0,0.0,0.0
0.064941,0.18457,1.357422,23.475611,69.939026,26.707317,0.0,0.0,0.0
