0.014160,0.358887,0.897949,0.000000,2.439024,-0.548781,0.000000.1,0.000000.2,0.000000.3
-0.105957,0.01709,1.296875,6.646342,87.621956,-21.097561,0.0,0.0,0.0
-0.104004,0.024414,1.274902,1.585366,95.487808,-16.280489,0.0,0.0,0.0
-0.099121,0.032715,1.200195,-3.841464,102.439026,-12.560976,0.0,0.0,0.0
-0.101074,-0.004395,1.10791,-6.646342,107.926834,-9.268292,0.0,0.0,0.0
-0.099609,-0.049805,1.024414,-7.439024,111.280487,-5.426829,0.0,0.0,0.0
-0.095215,-0.088867,0.95752,-4.268293,113.231712,-1.158537,0.0,0.0,0.0
-0.09375,-0.116211,0.897949,1.52439,114.207321,5.487805,0.0,0.0,0.0
-0.090332,-0.138184,0.840332,4.207317,115.731712,10.670732,0.0,0.0,0.0
-0.071289,-0.11377,0.734375,0.0,120.853661,16.707317,0.0,0.0,0.0
-0.087402,-0.106934,0.649902,-0.304878,115.18293,20.975611,0.0,0.0,0.0
-0.084961,-0.140137,0.574707,-4.45122,111.890244,25.060976,0.0,0.0,0.0
-0.091309,-0.156738,0.483398,-8.292683,110.304878,30.54878,0.0,0.0,0.0
-0.102051,-0.152344,0.383789,-9.878049,102.317078,37.2561,0.0,0.0,0.0
-0.126465,-0.186035,0.230469,-15.426829,100.304878,42.195122,0.0,0.0,0.0
-0.117188,-0.259277,0.241211,-7.865854,87.317078,50.060978,0.0,0.0,0.0
-0.114746,-0.28125,0.163574,-2.256098,78.963417,60.670734,0.0,0.0,0.0
-0.092285,-0.282715,0.11084,1.341463,69.024391,71.829269,0.0,0.0,0.0
-0.056152,-0.254883,0.078125,2.378049,56.768295,84.085365,0.0,0.0,0.0
-0.033203,-0.15332,0.060547,-1.95122,46.158539,94.146347,0.0,0.0,0.0
-0.008301,-0.043945,0.012207,-11.890244,34.146343,101.341469,0.0,0.0,0.0
0.007324,-0.024414,-0.007812,-19.024391,22.682928,104.878052,0.0,0.0,0.0
0.033203,-0.030273,0.064941,-22.560976,7.560976,110.853661,0.0,0.0,0.0
0.048828,-0.006836,0.161621,-23.04878,-1.95122,117.5,0.0,0.0,0.0
0.081055,0.054199,0.20752,-23.04878,-8.47561,124.878052,0.0,0.0,0.0
0.118652,0.143066,0.221191,-23.963415,-14.268293,129.878052,0.0,0.0,0.0
0.132812,0.209961,0.249512,-25.182928,-20.243902,132.560974,0.0,0.0,0.0
0.162598,0.268555,0.266113,-25.914635,-25.792683,135.609756,0.0,0.0,0.0
0.197754,0.357422,0.236328,-26.280489,-31.463415,138.231705,0.0,0.0,0.0
0.226562,0.475586,0.212891,-29.268293,-40.121952,138.902435,0.0,0.0,0.0
0.235352,0.597656,0.251953,-33.109756,-52.865856,136.646347,0.0,0.0,0.0
0.226562,0.644531,0.335449,-34.939026,-61.768295,133.109756,0.0,0.0,0.0
0.227051,0.693359,0.410645,-33.414635,-68.414635,130.426834,0.0,0.0,0.0
0.226074,0.807129,0.496582,-32.92683,-72.987808,126.951225,0.0,0.0,0.0
0.246582,0.88916,0.502441,-26.463415,-73.292686,119.634148,0.0,0.0,0.0
0.265137,0.879395,0.585938,-35.609756,-78.719513,112.926834,0.0,0.0,0.0
0.27002,0.992676,0.645508,-38.902439,-82.012199,107.012199,0.0,0.0,0.0
0.297363,1.052734,0.702637,-45.914635,-83.841469,98.048782,0.0,0.0,0.0
0.299316,1.092773,0.686523,-51.707317,-85.121956,88.231712,0.0,0.0,0.0
0.291504,1.128906,0.697754,-56.036587,-90.0,77.804878,0.0,0.0,0.0
0.28125,1.114258,0.774414,-56.158539,-95.975609,65.243904,0.0,0.0,0.0
0.27002,1.115234,0.853027,-54.7561,-99.268295,56.707317,0.0,0.0,0.0
0.287109,1.083984,1.038574,-56.829269,-104.573174,45.121952,0.0,0.0,0.0
0.217773,1.042969,0.992676,-45.975613,-104.268295,35.0,0.0,0.0,0.0
0.277344,0.984863,0.959473,-48.597561,-91.829269,25.060976,0.0,0.0,0.0
0.277832,0.964355,0.945312,-46.890244,-91.768295,17.743902,0.0,0.0,0.0
0.283203,0.911621,0.982422,-47.560978,-92.317078,8.780488,0.0,0.0,0.0
0.28125,0.870117,0.993652,-48.292683,-91.341469,2.317073,0.0,0.0,0.0
0.282715,0.845703,1.001953,-48.536587,-90.914635,-4.085366,0.0,0.0,0.0
0.266113,0.806152,0.999512,-50.243904,-90.0,-9.573171,0.0,0.0,0.0
0.267578,0.749512,0.958984,-49.939026,-89.695122,-14.512196,0.0,0.0,0.0
0.273926,0.73584,0.953613,-49.451221,-91.646347,-17.073172,0.0,0.0,0.0
0.288574,0.730469,0.955566,-48.658539,-93.536591,-19.268293,0.0,0.0,0.0
0.293945,0.76123,1.016602,-47.621952,-97.378052,-21.768293,0.0,0.0,0.0
0.304199,0.800781,1.112793,-51.463417,-99.634148,-25.54878,0.0,0.0,0.0
0.297852,0.779297,1.205078,-55.060978,-98.170731,-30.853659,0.0,0.0,0.0
0.291016,0.722656,1.280273,-54.939026,-94.573174,-35.487804,0.0,0.0,0.0
0.288574,0.749023,1.336914,-50.365856,-88.475609,-39.268295,0.0,0.0,0.0
0.292969,0.733887,1.361328,-47.621952,-82.5,-44.7561,0.0,0.0,0.0
0.289551,0.716797,1.37793,-43.963417,-77.621956,-50.487804,0.0,0.0,0.0
0.278809,0.710938,1.414062,-40.792683,-72.134148,-57.743904,0.0,0.0,0.0
0.265137,0.683594,1.441406,-38.292683,-66.463417,-64.207321,0.0,0.0,0.0
0.265137,0.63916,1.457031,-34.878048,-60.487804,-69.878052,0.0,0.0,0.0
0.261719,0.584473,1.447266,-29.87805,-53.048782,-75.914635,0.0,0.0,0.0
0.25,0.507812,1.42041,-25.121952,-47.621952,-80.060974,0.0,0.0,0.0
0.259766,0.445312,1.402344,-20.54878,-42.2561,-83.780487,0.0,0.0,0.0
0.26416,0.373047,1.386719,-16.707317,-37.743904,-86.402443,0.0,0.0,0.0
0.268555,0.289062,1.38623,-9.573171,-34.146343,-87.68293,0.0,0.0,0.0
0.277832,0.257812,1.457031,-0.182927,-30.243902,-87.195122,0.0,0.0,0.0
0.285156,0.225098,1.568359,4.268293,-24.024391,-87.256096,0.0,0.0,0.0
0.288086,0.14502,1.648926,5.853659,-13.414635,-86.341469,0.0,0.0,0.0
0.303223,0.108887,1.66748,6.402439,-0.182927,-83.719513,0.0,0.0,0.0
0.305176,0.067871,1.67041,4.512195,12.560976,-81.524391,0.0,0.0,0.0
0.300293,0.019043,1.625,1.341463,25.487806,-78.719513,0.0,0.0,0.0
0.306152,-0.026367,1.539062,-2.012195,36.585365,-75.0,0.0,0.0,0.0
0.303223,-0.06543,1.441895,-4.634146,45.914635,-71.524391,0.0,0.0,0.0
0.281738,-0.090332,1.304199,-8.353659,52.804878,-68.292686,0.0,0.0,0.0
0.274902,-0.11084,1.135742,-10.853659,55.18293,-64.146339,0.0,0.0,0.0
0.240723,-0.128906,1.019531,-10.731708,53.048782,-60.060978,0.0,0.0,0.0
0.202637,-0.213379,0.987793,-5.731708,48.658539,-54.207317,0.0,0.0,0.0
0.174805,-0.190918,0.984375,-0.853659,46.951221,-45.731709,0.0,0.0,0.0
0.156738,-0.140625,0.946777,0.914634,46.402439,-37.682926,0.0,0.0,0.0
0.134277,-0.091309,0.916016,-1.95122,46.219513,-32.012196,0.0,0.0,0.0
0.116699,-0.065918,0.884766,-6.097561,45.975613,-26.768293,0.0,0.0,0.0
0.10498,-0.061035,0.846191,-8.414635,45.975613,-20.609756,0.0,0.0,0.0
0.094727,0.006348,0.811523,-8.841464,45.853661,-14.756098,0.0,0.0,0.0
0.097168,0.101562,0.807617,-11.646341,44.7561,-11.097561,0.0,0.0,0.0
0.10791,0.212402,0.747559,-16.768293,45.304878,-9.146341,0.0,0.0,0.0
0.10791,0.277344,0.649902,-20.487804,42.439026,-11.280488,0.0,0.0,0.0
0.102539,0.241211,0.634766,-18.292683,35.670734,-14.329268,0.0,0.0,0.0
0.100586,0.207031,0.656738,-9.695122,30.42683,-14.207317,0.0,0.0,0.0
0.103027,0.231445,0.686523,-0.304878,25.731709,-12.804878,0.0,0.0,0.0
0.099121,0.240234,0.735352,3.536585,22.37805,-12.439025,0.0,0.0,0.0
0.117676,0.236816,0.762207,5.731708,20.121952,-10.914635,0.0,0.0,0.0
0.10498,0.266113,0.773438,5.609756,18.292683,-10.060976,0.0,0.0,0.0
0.106934,0.23877,0.789551,3.841464,16.463415,-8.902439,0.0,0.0,0.0
0.11377,0.247559,0.806641,1.829268,15.243903,-6.768293,0.0,0.0,0.0
0.103516,0.288574,0.827148,-2.195122,14.45122,-4.756098,0.0,0.0,0.0
0.112305,0.301758,0.852051,-8.47561,14.02439,-3.597561,0.0,0.0,0.0
0.11377,0.314941,0.84082,-14.02439,14.695123,-1.95122,0.0,0.0,0.0
0.110352,0.356934,0.775879,-17.865854,13.353659,-1.829268,0.0,0.0,0.0
0.106934,0.327148,0.753906,-15.609756,8.04878,-2.560976,0.0,0.0,0.0
0.103516,0.314941,0.778809,-10.609756,4.085366,-1.585366,0.0,0.0,0.0
