-0.457275,0.037109,0.90332,-0.121951,-0.304878,3.719512,0.0,0.0,0.0
-0.451904,0.04126,0.901611,0.365854,-0.121951,2.560976,0.0,0.0,0.0
-0.453857,0.038574,0.902588,0.121951,-0.121951,2.378049,0.0,0.0,0.0
-0.446777,0.01709,0.916992,-0.060976,-0.609756,1.463415,0.0,0.0,0.0
-0.449219,0.012939,0.916504,-0.426829,0.243902,1.463415,0.0,0.0,0.0
-0.443848,0.007568,0.912842,-0.121951,0.853659,1.585366,0.0,0.0,0.0
-0.444824,0.022217,0.895264,-0.365854,1.097561,2.012195,0.0,0.0,0.0
-0.443848,0.031006,0.884766,-0.426829,0.182927,2.317073,0.0,0.0,0.0
-0.447754,0.033447,0.889648,-0.182927,-0.182927,2.012195,0.0,0.0,0.0
-0.449463,0.028564,0.889648,-0.121951,-0.243902,1.890244,0.0,0.0,0.0
-0.454102,0.037109,0.892578,0.243902,-0.243902,1.219512,0.0,0.0,0.0
-0.443115,0.035645,0.896973,0.182927,-0.304878,0.792683,0.0,0.0,0.0
-0.448975,0.030518,0.90332,0.182927,-0.121951,0.0,0.0,0.0,0.0
-0.449219,0.030518,0.901855,-0.060976,0.243902,0.0,0.0,0.0,0.0
-0.44043,0.026123,0.901611,0.243902,0.060976,-0.548781,0.0,0.0,0.0
-0.449707,0.020752,0.893066,0.304878,-0.182927,-0.792683,0.0,0.0,0.0
-0.444336,0.017822,0.887695,0.365854,0.243902,-1.097561,0.0,0.0,0.0
-0.447266,0.015381,0.888428,0.365854,-0.243902,-1.036585,0.0,0.0,0.0
-0.444824,0.013672,0.88208,0.304878,-0.548781,-1.463415,0.0,0.0,0.0
-0.44751,0.009521,0.882812,0.060976,-0.670732,-2.012195,0.0,0.0,0.0
-0.442871,-0.006592,0.885254,-0.304878,-1.158537,-2.012195,0.0,0.0,0.0
-0.446289,-0.006592,0.891846,0.060976,-1.036585,-2.073171,0.0,0.0,0.0
-0.440674,-0.020752,0.887207,0.0,-1.036585,-2.317073,0.0,0.0,0.0
-0.439209,-0.0271,0.883545,0.182927,-0.670732,-1.585366,0.0,0.0,0.0
-0.435791,-0.02832,0.883057,0.365854,-1.341463,-0.609756,0.0,0.0,0.0
-0.435791,-0.026123,0.884277,0.182927,-1.52439,0.182927,0.0,0.0,0.0
-0.4375,-0.01001,0.894043,-0.121951,-2.012195,0.609756,0.0,0.0,0.0
-0.43457,-0.005615,0.905273,-0.060976,-1.890244,1.097561,0.0,0.0,0.0
-0.431152,0.002441,0.911621,0.182927,-2.012195,0.792683,0.0,0.0,0.0
-0.448486,0.008301,0.917725,0.060976,-1.585366,0.97561,0.0,0.0,0.0
-0.444336,0.008057,0.917725,0.304878,-1.341463,0.426829,0.0,0.0,0.0
-0.439941,0.006348,0.921631,0.060976,-0.97561,0.365854,0.0,0.0,0.0
-0.439453,0.008545,0.921387,0.304878,-0.548781,0.060976,0.0,0.0,0.0
-0.445801,0.007812,0.916748,-0.182927,-0.182927,0.060976,0.0,0.0,0.0
-0.44873,0.003418,0.912842,0.0,-0.304878,-0.182927,0.0,0.0,0.0
-0.455811,-0.003418,0.917969,-0.121951,-0.426829,-0.304878,0.0,0.0,0.0
-0.455566,0.000732,0.908203,0.182927,0.304878,0.060976,0.0,0.0,0.0
-0.448486,0.005615,0.901855,-0.304878,0.060976,0.182927,0.0,0.0,0.0
-0.449463,0.010254,0.900146,-0.365854,0.365854,-0.182927,0.0,0.0,0.0
-0.444824,0.007568,0.907471,-0.121951,0.060976,-0.426829,0.0,0.0,0.0
-0.445801,0.001465,0.90332,-1.402439,0.0,-0.487805,0.0,0.0,0.0
-0.441406,-0.001953,0.901367,-1.341463,0.609756,-0.487805,0.0,0.0,0.0
-0.438721,-0.000977,0.898193,-1.097561,0.97561,-0.182927,0.0,0.0,0.0
-0.436279,0.006104,0.887939,0.365854,0.670732,-0.182927,0.0,0.0,0.0
-0.441895,0.003418,0.877686,0.670732,0.548781,-0.792683,0.0,0.0,0.0
-0.44043,0.002197,0.877441,0.853659,-0.182927,-0.97561,0.0,0.0,0.0
-0.43335,-0.010986,0.888916,0.609756,-1.097561,-1.158537,0.0,0.0,0.0
-0.434814,-0.005371,0.906738,0.060976,-1.280488,-0.97561,0.0,0.0,0.0
-0.4375,-0.012695,0.912354,-0.609756,-0.97561,-0.97561,0.0,0.0,0.0
-0.436035,-0.009277,0.912598,-0.670732,-0.609756,-0.426829,0.0,0.0,0.0
-0.429932,-0.005127,0.91333,-0.365854,-0.243902,-0.487805,0.0,0.0,0.0
-0.439941,-0.000488,0.909424,-0.243902,0.0,0.182927,0.0,0.0,0.0
-0.441895,-0.002441,0.914795,-0.182927,0.304878,-0.121951,0.0,0.0,0.0
-0.44165,0.004883,0.9104,0.304878,0.853659,-0.182927,0.0,0.0,0.0
-0.446289,-0.008789,0.900146,0.365854,0.914634,-0.121951,0.0,0.0,0.0
-0.449951,-0.004395,0.897949,0.304878,0.792683,0.0,0.0,0.0,0.0
-0.443359,-0.003906,0.89502,0.243902,0.97561,0.365854,0.0,0.0,0.0
-0.436523,0.0,0.888184,-0.121951,0.853659,0.426829,0.0,0.0,0.0
-0.443848,-0.00293,0.881592,-0.426829,0.548781,0.426829,0.0,0.0,0.0
-0.438232,0.006348,0.880859,-0.121951,0.365854,0.487805,0.0,0.0,0.0
-0.437012,0.00708,0.882324,0.487805,0.0,0.365854,0.0,0.0,0.0
-0.438721,0.002441,0.878418,0.853659,-0.060976,0.182927,0.0,0.0,0.0
