acc_X,acc_Y,acc_Z,digit
-857,840,1813,0
-802,741,1877,0
-751,606,1966,0
-729,585,2011,0
-648,1018,1846,0
-487,1685,1977,0
-294,2228,2513,0
-171,2318,2943,0
-147,1974,3126,0
-183,1487,3234,0
-227,1315,3042,0
-186,1603,2711,0
3,2180,2807,0
233,2604,3176,0
366,2543,3592,0
339,2190,3824,0
239,1829,3720,0
189,1701,3525,0
255,1919,3478,0
520,2481,3727,0
744,2850,4099,0
833,2684,4366,0
875,2323,4408,0
962,1999,4561,0
1072,1873,4837,0
1144,2138,4754,0
1190,2499,4452,0
1242,2512,4309,0
1318,2169,4635,0
1420,1843,5033,0
1476,1706,5262,0
1516,1809,5166,0
1519,1882,5169,0
1511,1899,5171,0
1471,2137,5048,0
1498,2172,5007,0
1528,2128,5095,0
1519,1976,5184,0
1485,1730,5192,0
1432,1755,4974,0
1508,1704,5191,0
1580,1547,5417,0
1588,1550,5463,0
1608,1933,5345,0
1531,2042,5039,0
1424,1617,4927,0
1384,1173,5024,0
1375,983,5075,0
1380,922,5025,0
1358,888,4876,0
1312,804,4802,0
1266,783,4687,0
1244,854,4602,0
1261,912,4655,0
1240,842,4706,0
1201,738,4709,0
1124,612,4600,0
1029,539,4336,0
945,467,4224,0
904,441,4102,0
879,463,3910,0
897,429,3962,0
875,219,4060,0
810,85,4011,0
757,155,3920,0
682,123,3845,0
646,221,3710,0
621,392,3702,0
550,277,3696,0
469,275,3617,0
367,329,3509,0
271,267,3322,0
218,478,3081,0
199,550,3115,0
172,280,3283,0
153,138,3408,0
146,333,3421,0
145,690,3393,0
146,872,3299,0
88,763,3278,0
23,483,3280,0
23,434,3393,0
26,620,3451,0
29,891,3429,0
39,1125,3405,0
0,812,3489,0
-42,627,3552,0
-73,723,3408,0
-74,783,3410,0
-91,673,3443,0
-40,745,3615,0
4,791,3751,0
9,901,3731,0
3,1035,3694,0
-16,972,3681,0
-45,790,3712,0
-28,719,3829,0
5,735,3871,0
20,776,3802,0
9,916,3768,0
42,1013,3787,0
77,959,3949,0
137,874,4226,0
136,877,4331,0
133,909,4344,0
39,793,4247,0
0,792,4071,0
6,817,3986,0
37,937,3968,0
83,1071,4071,0
149,1070,4281,0
166,944,4374,0
129,770,4315,0
94,665,4208,0
68,633,4171,0
60,727,4122,0
71,864,4076,0
121,997,4085,0
96,1003,4020,0
54,689,4086,0
33,513,4114,0
24,474,4052,0
-43,460,3942,0
-36,494,3939,0
-2,645,3931,0
60,625,4068,0
60,501,4178,0
51,461,4208,0
61,577,4109,0
66,632,4134,0
66,522,4096,0
72,525,4084,0
89,580,4237,0
92,654,4225,0
83,693,4113,0
51,662,4116,0
12,565,4032,0
-26,494,3957,0
41,601,4150,0
105,675,4278,0
99,601,4281,0
62,564,4243,0
14,518,4121,0
-22,473,4030,0
-4,584,3930,0
-5,737,3911,0
-25,702,3906,0
-28,533,3911,0
-47,338,4011,0
-34,258,4152,0
3,462,4117,0
-16,443,4073,0
-55,342,3965,0
-18,328,3876,0
17,439,3894,0
72,537,4060,0
85,554,4189,0
68,483,4166,0
21,457,4034,0
-3,441,4019,0
-44,436,4792,0
-101,340,4763,0
-117,376,4783,0
-90,496,4758,0
-82,495,4693,0
-39,483,4761,0
-24,351,4821,0
-55,256,4754,0
-73,422,4586,0
-76,540,4422,0
-146,362,4281,0
-202,187,4192,0
-206,209,4119,0
-191,273,4111,0
-186,224,3993,0
-185,88,3887,0
-181,-169,4023,0
-168,-185,4121,0
-146,-25,4056,0
